Best Validation Pearson: 0.9145 at Epoch 274

Epoch,TrainLoss,ValLoss,TrainPearson,ValPearson
1,10.299293,29.571251,0.096830,0.504036
2,3.183868,12.405320,0.057776,0.413387
3,2.246665,1.946706,0.194443,0.436334
4,1.636616,0.712640,0.184777,0.551278
5,1.502075,0.724240,0.258952,0.561825
6,1.277874,0.792640,0.267894,0.440645
7,1.255838,0.717084,0.276575,0.551561
8,1.412323,0.859208,0.320404,0.539565
9,1.090051,0.579161,0.311482,0.618762
10,1.182058,0.502485,0.330063,0.622609
11,1.078088,0.676341,0.359112,0.557625
12,1.124309,0.430604,0.314068,0.671252
13,1.045488,0.553827,0.400816,0.592906
14,1.085813,0.599499,0.287950,0.642458
15,1.141214,0.714320,0.350749,0.464592
16,1.023491,0.495020,0.254125,0.648274
17,0.993245,0.432362,0.449786,0.678363
18,0.848961,0.397598,0.430217,0.686501
19,0.945491,0.402332,0.416835,0.743956
20,0.874774,0.446529,0.423665,0.649650
21,0.926348,0.503411,0.422236,0.698911
22,0.898580,0.608541,0.434003,0.741824
23,0.910996,0.480238,0.421124,0.694926
24,0.887600,0.368752,0.415539,0.731091
25,0.801469,0.300473,0.436514,0.780379
26,0.829041,0.348754,0.440752,0.758251
27,0.864944,0.508004,0.447235,0.731926
28,0.955229,0.429293,0.400703,0.709419
29,0.872805,0.629376,0.462904,0.703773
30,0.896861,0.423554,0.420931,0.718562
31,0.995088,0.718525,0.418841,0.743182
32,0.940433,0.919276,0.468269,0.743027
33,1.119828,0.584033,0.368361,0.638771
34,0.841929,0.346744,0.477415,0.783215
35,0.757312,0.662399,0.495039,0.719165
36,0.813974,0.475768,0.396567,0.747597
37,0.709647,0.445372,0.515991,0.763245
38,0.699628,0.354003,0.500493,0.786219
39,0.747743,0.323691,0.477482,0.783324
40,0.702350,0.346468,0.490683,0.759077
41,0.735783,0.306484,0.520091,0.765058
42,0.752828,0.583819,0.448200,0.656842
43,0.766343,0.340746,0.434015,0.770771
44,0.722452,0.292561,0.521952,0.775570
45,0.671076,0.416743,0.540245,0.765678
46,0.626834,0.337173,0.534350,0.784430
47,0.691106,0.297426,0.506155,0.783936
48,0.588867,0.279288,0.574959,0.806629
49,0.602126,0.279995,0.564664,0.805032
50,0.623033,0.283019,0.554197,0.808221
51,0.612059,0.368512,0.540266,0.795355
52,0.589420,0.254985,0.576876,0.822637
53,0.604100,0.345024,0.563846,0.766539
54,0.592650,0.292510,0.568004,0.790123
55,0.667952,0.256379,0.526802,0.804979
56,0.577082,0.284519,0.591822,0.801934
57,0.599190,0.300074,0.550671,0.802969
58,0.551345,0.303208,0.598003,0.829791
59,0.595567,0.260218,0.580781,0.814479
60,0.585109,0.311014,0.551343,0.819266
61,0.629443,0.253939,0.523428,0.820508
62,0.564767,0.255934,0.594753,0.822577
63,0.508534,0.261683,0.621828,0.819239
64,0.518736,0.256492,0.616021,0.818927
65,0.551363,0.300659,0.586455,0.817772
66,0.630102,0.394886,0.548884,0.762810
67,0.590200,0.408357,0.563046,0.793950
68,0.557153,0.261609,0.589476,0.809230
69,0.539757,0.403269,0.606311,0.778879
70,0.540509,0.254558,0.602774,0.827247
71,0.525054,0.462958,0.608383,0.703720
72,0.549282,0.261798,0.589575,0.811864
73,0.527902,0.273703,0.615074,0.807418
74,0.508164,0.265637,0.617717,0.826880
75,0.556064,0.287862,0.581525,0.815186
76,0.547541,0.276755,0.589591,0.819956
77,0.535482,0.231254,0.604674,0.843659
78,0.550740,0.250705,0.581872,0.816597
79,0.522330,0.235912,0.605158,0.834825
80,0.540367,0.281227,0.600601,0.806717
81,0.528565,0.270190,0.614379,0.842861
82,0.528992,0.239881,0.590955,0.848547
83,0.491130,0.256150,0.630927,0.821127
84,0.516097,0.261644,0.622349,0.807310
85,0.491148,0.244743,0.627749,0.825965
86,0.491136,0.291400,0.642874,0.798064
87,0.526536,0.286415,0.624454,0.803397
88,0.539003,0.257935,0.589788,0.844831
89,0.558185,0.233796,0.591596,0.844697
90,0.533247,0.236631,0.602287,0.840932
91,0.522411,0.263318,0.611444,0.802339
92,0.495550,0.238364,0.634673,0.831720
93,0.523192,0.244270,0.610284,0.837766
94,0.494233,0.255072,0.649899,0.824027
95,0.581943,0.367878,0.606857,0.801252
96,0.493979,0.322276,0.639773,0.818384
97,0.592368,0.225096,0.627011,0.839168
98,0.546451,0.337936,0.612125,0.824894
99,0.476307,0.246871,0.631517,0.833725
100,0.525664,0.250506,0.602779,0.836709
101,0.492574,0.298892,0.629947,0.831495
102,0.460883,0.220514,0.655084,0.862540
103,0.482470,0.216954,0.634966,0.848422
104,0.467944,0.254458,0.652561,0.809615
105,0.438013,0.243941,0.673359,0.847724
106,0.432342,0.238011,0.674408,0.846222
107,0.482913,0.260104,0.638565,0.824050
108,0.466219,0.225528,0.654493,0.840945
109,0.471778,0.232712,0.650975,0.843562
110,0.449035,0.240225,0.669414,0.847822
111,0.485507,0.218692,0.625982,0.843836
112,0.474447,0.211545,0.651151,0.849831
113,0.461919,0.225703,0.656225,0.837727
114,0.490782,0.222216,0.636519,0.834894
115,0.470844,0.228938,0.648041,0.856621
116,0.431168,0.258209,0.676939,0.810977
117,0.426418,0.279767,0.684681,0.823821
118,0.468538,0.245956,0.650600,0.842984
119,0.471500,0.245022,0.647190,0.828224
120,0.449368,0.217928,0.663312,0.845198
121,0.463334,0.210353,0.650464,0.865390
122,0.452605,0.279553,0.661636,0.821933
123,0.466780,0.239380,0.646755,0.839502
124,0.427915,0.233449,0.679276,0.832503
125,0.441807,0.221175,0.676458,0.841569
126,0.525323,0.238347,0.629933,0.852248
127,0.577705,0.366887,0.606096,0.857061
128,0.523572,0.267472,0.588793,0.831611
129,0.428563,0.252195,0.692421,0.860040
130,0.500971,0.240213,0.662346,0.838542
131,0.433101,0.214281,0.680033,0.849666
132,0.455058,0.210135,0.654121,0.864557
133,0.418211,0.238410,0.689726,0.862526
134,0.467511,0.213204,0.650310,0.852630
135,0.431590,0.196124,0.680115,0.863499
136,0.470032,0.219975,0.648353,0.867440
137,0.434128,0.246584,0.674243,0.840809
138,0.446489,0.200977,0.664152,0.857751
139,0.415591,0.226196,0.691791,0.835661
140,0.399723,0.250100,0.705730,0.833249
141,0.445672,0.223771,0.663982,0.849048
142,0.480663,0.194612,0.636596,0.873122
143,0.440246,0.202937,0.668252,0.867218
144,0.447193,0.206612,0.665056,0.872294
145,0.421510,0.203128,0.681731,0.875308
146,0.444401,0.213000,0.664675,0.852077
147,0.450857,0.235952,0.664494,0.845665
148,0.461566,0.198382,0.652961,0.863938
149,0.430264,0.185920,0.679015,0.878587
150,0.471265,0.250727,0.642233,0.832315
151,0.452756,0.199642,0.662894,0.856776
152,0.409464,0.222408,0.696249,0.851520
153,0.396500,0.232395,0.706465,0.854354
154,0.412576,0.197300,0.693312,0.856296
155,0.471014,0.222670,0.665148,0.845327
156,0.419866,0.196357,0.694837,0.867965
157,0.427846,0.192083,0.682433,0.875836
158,0.454559,0.210093,0.660618,0.845434
159,0.426045,0.263009,0.677347,0.857792
160,0.433114,0.217199,0.676797,0.859360
161,0.406392,0.224822,0.698897,0.860405
162,0.462872,0.226381,0.655582,0.845407
163,0.440621,0.193802,0.675617,0.871142
164,0.401689,0.200076,0.701721,0.871745
165,0.422707,0.188659,0.683839,0.876939
166,0.383685,0.190078,0.717693,0.870352
167,0.411273,0.210928,0.693163,0.852278
168,0.430145,0.188642,0.677272,0.867658
169,0.415695,0.205200,0.690912,0.867583
170,0.398540,0.207352,0.703680,0.882913
171,0.399560,0.173628,0.703171,0.898549
172,0.406854,0.178040,0.696047,0.870712
173,0.436248,0.180530,0.674673,0.879806
174,0.394597,0.192021,0.705586,0.883884
175,0.403283,0.176152,0.698775,0.879296
176,0.380194,0.209999,0.719316,0.859761
177,0.406956,0.184165,0.698863,0.882798
178,0.429978,0.191840,0.677622,0.888098
179,0.421805,0.190799,0.688075,0.869587
180,0.409436,0.207770,0.712898,0.865272
181,0.455874,0.212281,0.661432,0.851704
182,0.417863,0.179729,0.690155,0.874200
183,0.429788,0.171718,0.680895,0.884713
184,0.409707,0.222327,0.695412,0.864257
185,0.438175,0.172419,0.670644,0.890559
186,0.381708,0.191032,0.717997,0.869242
187,0.391946,0.177753,0.715627,0.890176
188,0.406159,0.192776,0.701205,0.881835
189,0.408021,0.222246,0.703248,0.857211
190,0.443271,0.180439,0.670235,0.885791
191,0.376710,0.186424,0.721512,0.871725
192,0.413284,0.176161,0.695817,0.882030
193,0.402141,0.175587,0.701971,0.886383
194,0.392162,0.211914,0.708251,0.858022
195,0.428494,0.174382,0.678246,0.887248
196,0.407666,0.173365,0.696049,0.884006
197,0.359929,0.197076,0.732909,0.877255
198,0.363017,0.179309,0.731132,0.887679
199,0.413628,0.200716,0.693867,0.873933
200,0.363769,0.179948,0.733521,0.885575
201,0.380997,0.167009,0.717646,0.891234
202,0.398134,0.175144,0.704745,0.875606
203,0.405756,0.162146,0.701043,0.891354
204,0.413379,0.159200,0.690188,0.901459
205,0.406344,0.162384,0.696399,0.899040
206,0.370223,0.155179,0.725953,0.901575
207,0.366944,0.177525,0.730583,0.888625
208,0.342400,0.161178,0.748705,0.895321
209,0.407480,0.180726,0.700437,0.890289
210,0.400126,0.184380,0.702324,0.878537
211,0.349494,0.159999,0.745192,0.891987
212,0.377059,0.173833,0.724085,0.884113
213,0.389057,0.178986,0.711928,0.880424
214,0.369651,0.164031,0.726687,0.890705
215,0.409904,0.170939,0.695050,0.889461
216,0.353654,0.165556,0.742976,0.889798
217,0.368765,0.150569,0.729877,0.897768
218,0.382978,0.151373,0.718490,0.901674
219,0.384095,0.142923,0.715690,0.904385
220,0.381731,0.163598,0.718738,0.898337
221,0.347805,0.159677,0.745613,0.893071
222,0.351837,0.177525,0.744439,0.880107
223,0.397251,0.159781,0.707965,0.897882
224,0.357918,0.157135,0.737680,0.899056
225,0.379577,0.172961,0.718381,0.891243
226,0.399220,0.228659,0.707265,0.881110
227,0.376092,0.152697,0.720700,0.902125
228,0.370422,0.164011,0.729057,0.884202
229,0.401004,0.172323,0.704036,0.889983
230,0.347328,0.163365,0.746308,0.895701
231,0.420507,0.165867,0.687088,0.887700
232,0.381047,0.191266,0.717819,0.874328
233,0.373844,0.163227,0.725372,0.893132
234,0.382181,0.155521,0.717512,0.901667
235,0.360959,0.156487,0.737719,0.894550
236,0.379466,0.151391,0.722968,0.902208
237,0.373042,0.160023,0.726255,0.888629
238,0.420721,0.173692,0.688988,0.887980
239,0.430857,0.162210,0.681258,0.894701
240,0.387212,0.175431,0.713436,0.888010
241,0.387546,0.148817,0.713190,0.905590
242,0.331834,0.151093,0.760632,0.904534
243,0.383734,0.201709,0.717742,0.874044
244,0.389955,0.151022,0.714693,0.901784
245,0.330773,0.156098,0.760192,0.897023
246,0.352747,0.139368,0.742398,0.907371
247,0.358855,0.160193,0.737030,0.899070
248,0.355604,0.154077,0.739002,0.900663
249,0.396299,0.160846,0.706979,0.890787
250,0.370017,0.163715,0.730037,0.887222
251,0.411218,0.161474,0.698291,0.894037
252,0.385281,0.140518,0.714453,0.905059
253,0.363184,0.153451,0.732932,0.900956
254,0.363974,0.169639,0.730732,0.887319
255,0.364644,0.159808,0.733343,0.893726
256,0.385079,0.145868,0.713490,0.906453
257,0.330037,0.141455,0.759681,0.900572
258,0.345121,0.147242,0.749150,0.900103
259,0.321636,0.180483,0.767255,0.882363
260,0.346664,0.174705,0.746975,0.884332
261,0.341760,0.142476,0.752115,0.904410
262,0.370551,0.159285,0.727609,0.892186
263,0.360767,0.156821,0.735136,0.892216
264,0.365256,0.140436,0.735280,0.906181
265,0.339809,0.161331,0.753324,0.892843
266,0.417754,0.140826,0.691883,0.905986
267,0.388497,0.154532,0.715737,0.903342
268,0.364654,0.143287,0.730311,0.907090
269,0.358451,0.135452,0.738860,0.913335
270,0.417081,0.163598,0.691457,0.892288
271,0.352961,0.143159,0.743290,0.907272
272,0.353550,0.176677,0.741018,0.886734
273,0.362071,0.150412,0.734220,0.905857
274,0.379651,0.134345,0.718806,0.914459
275,0.381285,0.162595,0.722358,0.897244
276,0.385790,0.138908,0.718778,0.910729
277,0.368160,0.147139,0.729983,0.903514
278,0.337726,0.147664,0.752536,0.903767
279,0.355456,0.146493,0.740592,0.903575
280,0.366768,0.142654,0.729642,0.904875
281,0.373559,0.150145,0.726264,0.899040
282,0.367488,0.141481,0.729199,0.907093
283,0.383341,0.137958,0.720054,0.907708
284,0.353557,0.160321,0.741484,0.896064
285,0.384111,0.144397,0.719058,0.906570
286,0.377404,0.134188,0.721726,0.913350
287,0.360578,0.138834,0.734136,0.911019
288,0.389518,0.139606,0.713145,0.909901
289,0.381018,0.149707,0.720424,0.900738
290,0.361353,0.140346,0.736413,0.906243
291,0.333087,0.140766,0.759591,0.909637
292,0.359946,0.155772,0.735273,0.900575
293,0.361064,0.137395,0.735474,0.913188
294,0.380861,0.139539,0.720836,0.910227
295,0.361914,0.144036,0.734569,0.907848
296,0.347552,0.144966,0.745280,0.900978
297,0.348210,0.145232,0.745872,0.904084
298,0.363054,0.143756,0.732393,0.904063
299,0.363294,0.142950,0.734021,0.905240
300,0.362646,0.139845,0.732151,0.908840
