mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1220578670501709,0.017101985815095085,0.0009628772735595703,6.349612728855855e-05,1.0,100,2,2,7,0.05,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 7, 'learning_rate': 0.05}",-625514.6352618135,-575850.4743349437,-692513.7248836135,-619985.5058461878,-614157.2635185521,-625604.3207690222,37722.48093187501,15
0.8109004020690918,0.03426006598490301,0.0008371353149414062,0.00013083262921393868,0.9,100,10,2,5,0.1,"{'subsample': 0.9, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 5, 'learning_rate': 0.1}",-545586.347005411,-509522.2602956753,-645289.6916781636,-554478.274987844,-575500.9559985948,-566075.5059931378,44980.65656141352,7
0.5703223705291748,0.02272492154160897,0.0006550312042236328,7.240558319021489e-05,1.0,100,2,2,3,0.1,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 3, 'learning_rate': 0.1}",-551338.327370684,-502605.12368650903,-658900.2352657305,-511483.20783015166,-578977.6267874481,-560660.9041881047,56324.59215050185,6
0.2238739013671875,0.0008685424029817869,0.0004391670227050781,2.05123130438208e-05,0.8,50,5,1,3,0.1,"{'subsample': 0.8, 'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.1}",-601269.7718745079,-548319.9660950046,-731807.9816176571,-577377.8163512961,-636266.9621872583,-619008.4996251449,63350.17394212499,13
0.4781224250793457,0.03434286467954078,0.0006147384643554688,8.919947388825023e-05,0.8,100,5,1,3,0.2,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.2}",-491484.9634035514,-498616.83910373354,-613156.1355475514,-493285.72527773713,-556882.3024291681,-530685.1931523483,47857.08393762494,3
0.615541410446167,0.0370707479343364,0.0007795810699462891,0.0001453104733908929,0.9,50,5,2,9,0.01,"{'subsample': 0.9, 'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 9, 'learning_rate': 0.01}",-737306.296498032,-647413.451442432,-766565.828847933,-634895.818639885,-719506.0950646353,-701137.4980985835,51382.267531569225,19
1.8470062732696533,0.16699110700372072,0.0011096477508544921,0.00010783790144528767,1.0,200,5,1,5,0.1,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}",-531184.4313119318,-488823.4011729395,-665729.8715500608,-542183.3006144571,-575097.1722096509,-560603.6353718081,59361.247400656284,5
0.4843157768249512,0.07910331650785012,0.0006909847259521484,9.797203984648083e-05,0.8,50,5,2,7,0.01,"{'subsample': 0.8, 'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 7, 'learning_rate': 0.01}",-735310.4459034766,-654978.0510382846,-780884.9302861457,-633627.1641451524,-728491.6055721149,-706658.4393890349,54427.247363085626,20
4.462899541854858,0.19250944035763634,0.003378438949584961,0.0004415257541331044,0.8,500,10,4,7,0.1,"{'subsample': 0.8, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 7, 'learning_rate': 0.1}",-573507.7444449334,-554973.884691724,-641662.8406962536,-523922.2936198568,-602653.0391212346,-579343.9605148004,40314.95788811393,8
1.393143081665039,0.08355942899571127,0.001182699203491211,0.0001775085869015097,1.0,100,5,4,9,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 9, 'learning_rate': 0.2}",-678339.5156880105,-597022.3384215037,-699466.199066277,-637450.5424364039,-689915.4797638605,-660438.8150752111,38111.82424095862,17
1.5244874477386474,0.047134101368526235,0.001045989990234375,0.00011211975841279954,0.9,300,10,4,3,0.01,"{'subsample': 0.9, 'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.01}",-635738.659772984,-572476.2316885093,-739471.4572869275,-590101.512490247,-660976.2789198788,-639752.8280317093,58994.48615841192,16
0.5594012260437011,0.018269870963824326,0.000565195083618164,6.106990331780201e-05,1.0,100,5,2,3,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 3, 'learning_rate': 0.2}",-535220.8810902571,-458548.79140456393,-593130.7270883359,-465543.2493993711,-544249.802332893,-519338.69026308425,50808.332879154754,2
0.7946622371673584,0.029230240300405663,0.0008390903472900391,0.00013408391266088552,0.9,100,2,4,5,0.05,"{'subsample': 0.9, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.05}",-571681.5843886544,-526317.1003291178,-662127.7801505426,-540733.3840643411,-630934.3755283796,-586358.8448922072,52211.15823940651,9
0.5459730625152588,0.018993238666392073,0.0008851528167724609,0.00014293893545615493,0.8,50,10,1,9,0.1,"{'subsample': 0.8, 'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 9, 'learning_rate': 0.1}",-637479.5294266917,-593328.6867144316,-666182.2097769895,-582271.6264532155,-635074.9598275222,-622867.4024397702,30852.111764903562,14
