train,validation,test
3.792676420541458981e-02,2.166753911611157268e-01,3.591363730367346241e-01
3.667511604687819782e-01,2.673111156854053871e-01,4.084712194406520114e-01
4.009783801753800669e-01,2.590280320349748755e-01,4.172303402690792362e-01
3.897797646939972771e-01,2.480598720340094487e-01,4.248108024371576308e-01
4.060483113178744441e-01,2.706288331086560417e-01,4.284483920384047351e-01
4.308167823367852201e-01,2.873109157300214322e-01,4.335364658403222937e-01
4.467438982837453887e-01,2.869242652455349374e-01,4.374165492588744653e-01
4.403100436151055064e-01,2.769719528437915024e-01,4.311139081639044912e-01
4.605400385198132884e-01,2.904058472816627434e-01,4.432494981685074498e-01
4.580076042215304732e-01,2.891073569836937751e-01,4.484075393349660765e-01
4.681598370966165712e-01,2.893684149082518808e-01,4.222667962388553797e-01
4.697175582201484345e-01,3.032000144697468702e-01,4.364412259500025648e-01
4.781864208587546794e-01,3.106064116401673347e-01,4.482379013607699081e-01
4.891332102936950532e-01,3.060728341272572206e-01,4.334770881558902555e-01
4.837363967295051359e-01,3.003175972599032018e-01,4.201017478848325659e-01
5.013530415690808928e-01,3.093779708742272483e-01,4.272336675560458041e-01
5.025252843900366306e-01,3.115889150930502005e-01,4.338080425913514171e-01
4.641705859093311903e-01,3.083691199910373881e-01,4.516125684429416753e-01
5.162418078608768113e-01,3.139514684025286329e-01,4.370553754115160117e-01
5.220476851477159341e-01,3.042439649589654405e-01,4.304329238081994191e-01
5.240136775421104787e-01,3.089609535724056055e-01,4.356996964006982220e-01
5.225616481746705455e-01,3.118538471995922490e-01,4.259226019656768281e-01
5.314357280300364694e-01,3.104121736696259792e-01,4.414615132045515145e-01
5.143218199752993547e-01,3.102780335755982999e-01,4.535144491508893427e-01
5.558395153135288203e-01,3.151518744844602482e-01,4.473207597336829044e-01
5.551767322098302149e-01,3.161746160514533610e-01,4.392366641139759942e-01
5.558068925230529311e-01,3.198242974899351276e-01,4.331814192301127187e-01
5.555486741337578582e-01,3.178635834659103709e-01,4.311495262213408397e-01
5.516545033643899254e-01,3.032837764515625145e-01,4.375084287208479972e-01
5.641512239485180213e-01,3.122046766729870138e-01,4.388238069424644783e-01
5.680021738224578787e-01,3.141772575625243480e-01,4.397635773470452425e-01
5.693284953378058288e-01,3.162487037041094018e-01,4.399421244915385776e-01
5.669417319191280002e-01,3.142430606184743458e-01,4.317071700830114045e-01
5.678567054152781068e-01,3.183387142793240865e-01,4.386408321125555565e-01
5.612381884434624046e-01,3.152759652249663147e-01,4.498276763542548018e-01
5.797129937311321646e-01,3.154280790444809468e-01,4.390144214018891211e-01
5.835796344162335059e-01,3.153526821854809592e-01,4.375140468101267333e-01
5.855741528340420166e-01,3.169516041142432239e-01,4.369100840162008503e-01
5.827175095196551746e-01,3.170344128458667532e-01,4.385311334948960860e-01
5.845008768263117993e-01,3.174476941307622924e-01,4.364389915771775819e-01
5.881663411231432548e-01,3.157162762568631598e-01,4.357047141240315002e-01
5.832227700246377378e-01,3.163834421458324164e-01,4.416987346527416203e-01
5.904787974123119065e-01,3.138487209889069818e-01,4.362382148044552932e-01
