iteration,pearson
0,0.16484735855145977
10,0.2389481854357351
20,0.3677591715933715
30,0.4249928108766923
40,0.43430109799459743
50,0.4648916877588293
60,0.4708420305616298
70,0.47287212025964265
80,0.4675432293392483
90,0.46831363104654017
100,0.46501383259494156
110,0.46446583242694267
120,0.46733225242940424
130,0.47657417174587474
140,0.48782689144837277
150,0.4946228180564483
160,0.48758706280484204
170,0.49203868058804723
180,0.4970200796666923
190,0.4990278106533582
200,0.49988458946336073
210,0.49470045967846404
220,0.5030624120221681
230,0.5041005892426123
240,0.509433452985271
250,0.5039720230345702
260,0.5058325748069334
270,0.5092807007928561
280,0.507279239260641
290,0.5028818816421327
300,0.5003319001830699
310,0.5057535058408205
320,0.51165527125112
330,0.5182554523263276
340,0.5172332300828869
350,0.5205108351372092
360,0.5231082438551802
370,0.521035320119862
380,0.5204979451219544
390,0.5190384878251451
400,0.5216479455009255
410,0.528008649152675
420,0.5264571996610776
430,0.5288327048151787
440,0.52558322998282
450,0.5279891079458874
460,0.527958280525577
470,0.5301705455470913
480,0.5299214228118172
490,0.5322529544407575
500,0.5331772197912487
510,0.5357060836696522
520,0.5353655297417725
530,0.5344265725546521
540,0.535865752516204
550,0.5352690349458392
560,0.5367535694658773
570,0.538051540930773
580,0.5394684757629892
590,0.5411545181549293
600,0.5405354618824522
610,0.5420366024353201
620,0.5428673510560494
630,0.541988088929593
640,0.5426398234885056
650,0.5424652833437746
660,0.5432733442678845
670,0.5459349391463324
680,0.5476559831746238
690,0.5480154428787981
700,0.547106259172296
710,0.5468336872137866
720,0.5489121380213312
730,0.5491044100796898
740,0.5473822716083684
750,0.5466311995112032
760,0.5463668104250379
770,0.5454182393171172
780,0.5457547596447737
790,0.547179620462121
800,0.5481439965960522
810,0.5495354749409093
820,0.5499020175501307
830,0.5496804403364522
840,0.5491852182536311
850,0.5497407550342853
860,0.5506722442378713
870,0.5514014486298598
880,0.5522311109256332
890,0.5522674612119791
900,0.5528940646531462
910,0.5534297934815035
920,0.5541853555614726
930,0.553032504512956
940,0.5519405986688142
950,0.5515446946965238
960,0.5513864682530834
970,0.5523017122828963
980,0.5530888372855104
990,0.5528121971690945
1000,0.5530622408889808
1010,0.5521745844360221
1020,0.5512981604486831
1030,0.5510610690233589
1040,0.5521355807096885
1050,0.5524433376453245
1060,0.5523869087114291
1070,0.5516863845710892
1080,0.5514199899980561
1090,0.5519088133858402
1100,0.5519742045256081
1110,0.5523262739768631
1120,0.5530112155169516
1130,0.5530686821471675
1140,0.5537475993470807
1150,0.5541088384101294
1160,0.5535200836409672
1170,0.5533051483649876
1180,0.5532345028105783
1190,0.5538038127989899
1200,0.5536619129657919
1210,0.553675069048232
1220,0.5540468029666019
1230,0.5545121999376214
1240,0.5545879266781814
1250,0.5546304858208063
1260,0.5544271456108211
1270,0.5547649785767303
1280,0.5552945331910739
1290,0.5554151633378022
1300,0.5555821939959926
1310,0.5557716513783683
1320,0.5559480467928933
1330,0.5559575898749318
1340,0.5562913145045005
1350,0.5567440582221872
1360,0.5567957428384999
1370,0.556830576948755
1380,0.5567275840221573
1390,0.5561969361987202
1400,0.5566440850125026
1410,0.5563867303290043
1420,0.5564062872068068
1430,0.5563966957852835
