Model,Train MSE,Val MSE,Test MSE,Train R²,Val R²,Test R²,Train Pearson,Val Pearson,Test Pearson
RandomForest,94031.45809503431,661307.5010006756,553275.2516281693,0.8786330891115938,0.1751314545297733,0.2539201422304963,0.9830211658367984,0.4432981727235622,0.5571338152754759
GradientBoosting,131623.47010069634,582776.3001105721,447879.8129780824,0.8301128761569462,0.2730857607401661,0.39604363979560553,0.9512827336319637,0.5379016871584834,0.6760338527792992
Ridge,630120.6673717523,749221.667550556,619065.0974541769,0.18669985093117325,0.06547349574585648,0.16520394053504672,0.4320883092441541,0.2897473397372538,0.4092733066651354
Lasso,630171.1910955373,748020.9824422684,619691.4863414424,0.18663463968797245,0.06697114604823817,0.16435926850147176,0.4320506031156319,0.29011859332641227,0.40834546853426495
SVR,772797.5884003792,801181.5411030442,749337.1113125873,0.002545978268552185,0.0006623976482197369,-0.01046508728575457,0.5169259692017718,0.24151067295256784,0.45200924756158506
MLP,2991708.6772787636,3479330.050724092,3151150.2557939743,-2.8614145499306898,-3.339872016889008,-3.249258805150946,0.06336797309704324,-0.02174319494014323,0.08079608053217142
