feature,importance
feature_300,2908
feature_280,2807
feature_361,2705
feature_200,2567
feature_61,2142
feature_140,2135
feature_121,2113
feature_60,2101
feature_120,2097
feature_381,2076
feature_240,2065
feature_301,1926
feature_255,1918
feature_180,1859
feature_175,1749
feature_201,1699
feature_340,1634
feature_160,1616
feature_141,1611
feature_101,1589
feature_220,1554
feature_221,1538
feature_320,1488
feature_1,1472
feature_80,1439
feature_20,1415
feature_260,1409
feature_161,1402
feature_0,1401
feature_380,1392
feature_100,1352
feature_241,1334
feature_360,1329
feature_261,1310
feature_281,1302
feature_181,1298
feature_41,1293
feature_372,1259
feature_40,1246
feature_81,1218
feature_341,1202
feature_321,1120
feature_295,979
feature_392,977
feature_215,973
feature_21,967
feature_283,822
feature_95,771
feature_232,670
feature_132,643
feature_303,642
feature_203,616
feature_375,555
feature_212,550
feature_72,540
feature_112,537
feature_12,520
feature_312,488
feature_152,488
feature_52,462
feature_143,458
feature_172,447
feature_313,438
feature_252,434
feature_272,415
feature_63,408
feature_282,404
feature_302,398
feature_202,398
feature_82,393
feature_243,380
feature_142,367
feature_352,348
feature_83,343
feature_92,337
feature_242,335
feature_103,334
feature_163,334
feature_123,328
feature_192,324
feature_62,322
feature_292,321
feature_182,320
feature_332,315
feature_355,312
feature_315,310
feature_135,308
feature_363,298
feature_275,285
feature_263,281
feature_183,268
feature_323,265
feature_3,258
feature_32,257
feature_342,256
feature_162,255
feature_115,255
feature_382,252
feature_2,244
feature_75,243
feature_122,243
feature_22,234
feature_43,232
feature_195,228
feature_362,225
feature_23,208
feature_322,205
feature_55,202
feature_262,202
feature_102,201
feature_223,196
feature_335,187
feature_343,186
feature_222,186
feature_42,181
feature_394,170
feature_383,163
feature_374,162
feature_235,109
feature_155,108
feature_134,101
feature_314,98
feature_286,96
feature_206,92
feature_234,90
feature_306,90
feature_236,80
feature_174,80
feature_114,78
feature_254,77
feature_214,76
feature_14,75
feature_74,74
feature_146,73
feature_54,73
feature_154,68
feature_395,66
feature_317,66
feature_35,65
feature_246,62
feature_294,61
feature_274,61
feature_354,58
feature_334,58
feature_66,55
feature_194,55
feature_15,53
feature_94,53
feature_166,50
feature_106,49
feature_136,47
feature_186,45
feature_86,44
feature_266,44
feature_366,38
feature_6,37
feature_326,36
feature_376,35
feature_26,34
feature_396,31
feature_304,31
feature_126,30
feature_76,27
feature_16,25
feature_226,25
feature_34,25
feature_346,23
feature_237,23
feature_216,22
feature_85,22
feature_284,22
feature_46,22
feature_386,21
feature_184,19
feature_204,19
feature_144,17
feature_264,16
feature_96,16
feature_64,15
feature_56,14
feature_224,14
feature_276,13
feature_296,13
feature_316,13
feature_336,12
feature_156,12
feature_324,11
feature_176,11
feature_244,11
feature_36,11
feature_84,11
feature_305,10
feature_116,10
feature_356,10
feature_24,10
feature_384,9
feature_256,9
feature_45,9
feature_364,9
feature_105,9
feature_124,9
feature_57,8
feature_196,7
feature_344,7
feature_4,7
feature_385,6
feature_117,6
feature_238,6
feature_145,6
feature_104,6
feature_164,6
feature_338,5
feature_65,5
feature_277,5
feature_17,4
feature_178,3
feature_18,3
feature_25,3
feature_393,3
feature_93,3
feature_198,3
feature_37,2
feature_325,2
feature_358,2
feature_5,2
feature_185,2
feature_98,2
feature_77,2
feature_367,2
feature_38,2
feature_147,2
feature_44,2
feature_397,2
feature_257,2
feature_125,2
feature_205,2
feature_337,2
feature_398,2
feature_357,1
feature_258,1
feature_158,1
feature_245,1
feature_67,1
feature_187,1
feature_218,1
feature_379,1
feature_297,1
feature_365,1
feature_285,1
feature_139,1
feature_217,1
feature_265,1
feature_78,1
feature_97,1
feature_225,1
feature_177,1
feature_345,1
feature_369,0
feature_299,0
feature_298,0
feature_368,0
feature_353,0
feature_359,0
feature_307,0
feature_308,0
feature_7,0
feature_377,0
feature_370,0
feature_351,0
feature_378,0
feature_333,0
feature_339,0
feature_331,0
feature_330,0
