iteration,train_loss,val_loss,train_pearson,val_pearson,test_pearson,learning_rate
0,784722.0537345831,762545.3824145306,0.4155447839820544,0.30050047612187464,0.3428555351281843,0.0001
100,767750.6104445616,688000.100882532,0.6538767838106687,0.5446181677956445,0.42808691053791287,0.0001
200,688146.6915798292,649892.2601077395,0.687580526128571,0.579745668151668,0.4570720138533633,0.0001
300,579378.6001889926,610926.0153936923,0.7450021078898762,0.6680239163086898,0.5038571717587722,0.0001
400,487401.7634086454,513256.5366126232,0.7938972436122773,0.7148082776869094,0.5404716259908202,0.0001
500,412652.152233499,365741.57495130406,0.8212228764692437,0.8001669248925789,0.5675231846678401,0.0001
600,350567.67908997205,255837.03766978276,0.8542932560312101,0.8199699278205848,0.5775732374697647,0.00012
700,291287.0801365973,237783.83043876654,0.8697736267567575,0.8516618555748543,0.5812831758635026,0.00014000000000000001
800,236723.45212067524,267680.3143988607,0.8864035127036065,0.8561288317808384,0.5830658359151103,0.00016
900,209796.9384104671,235925.34704408952,0.8917720946117809,0.8791986166976751,0.5882976490724056,0.00017999999999999998
1000,191690.70787416416,198354.5217455977,0.9027105923038417,0.8715220738532798,0.5882028368025787,0.0002
1100,174973.13493136212,174503.369782675,0.9075626219235496,0.8939799826407959,0.5932150011939843,0.00021999999999999998
1200,160419.06533320848,165454.74781315253,0.9158779992190762,0.8824348219030711,0.5948408573872009,0.00024
1300,149672.38017567823,156754.9815925899,0.9127452287425044,0.9176957835286488,0.5958856756674406,0.00026
1400,147698.0523929477,122266.47160733999,0.9116283298929575,0.9356284283847036,0.5974455710953698,0.00028000000000000003
1500,139617.8966833774,117711.38632434381,0.9144565066368083,0.9391598896115666,0.5974559362552574,0.0003
1600,129834.38154292619,127774.04482237241,0.9208761824139258,0.9264203416583445,0.5971849766135297,0.00032
1700,132900.91849258772,89747.34454647396,0.9168740563093348,0.9524696433092759,0.5988557750555134,0.00034
1800,127315.06652499773,92634.11233667105,0.9198328755808733,0.9477217431048197,0.6001420290608345,0.00035999999999999997
1900,117125.98488408409,117389.77347467127,0.9267439201061902,0.928218662256804,0.600965412552823,0.00038
2000,112147.29488907964,123758.0213379751,0.930989804300661,0.9154256495230623,0.601973070956677,0.0004
2100,115253.79418953203,100273.49824164619,0.9292799779261514,0.927607966267928,0.6021884441202158,0.00042
2200,122124.51126629752,63057.476788135595,0.9257356526838442,0.952561826305846,0.6020041834226213,0.00043999999999999996
2300,115994.8952403197,79745.48412840806,0.9282478523964885,0.9420327605378113,0.6034452864495901,0.00046
2400,104616.7562182683,118256.00299438115,0.9336156027001054,0.9218558853324913,0.6037594998921791,0.00048
2500,106051.8483576056,106941.44189814976,0.9329717303525896,0.9245518689636479,0.6043405882879559,0.0005
2600,113471.74985653065,72126.5378793213,0.9291584651486209,0.9463076086901866,0.6049445931339417,0.00052
2700,109397.45296406392,84563.63391668999,0.9301485641617476,0.9451552931000409,0.6059015686392888,0.00054
2800,94403.41614709393,140914.5515168953,0.9407417400232922,0.899008630954083,0.6061659447122435,0.0005600000000000001
2900,107522.05383526259,85796.21857490922,0.9313165573450759,0.9414980112809022,0.6067440209089341,0.00058
3000,98006.61863703305,121715.4492006178,0.9376719090101475,0.9136184576028635,0.6064784076461915,0.0006
3100,97029.78621283337,123574.85534230128,0.9374726688925059,0.9171989804267944,0.606861746344018,0.00062
3200,91619.20451607199,143096.9602413171,0.9420807231755406,0.8940830962128218,0.6073487181969547,0.00064
3300,95644.24548363594,125679.94658074083,0.9367362023537568,0.922719469789912,0.6074408340226023,0.00066
3400,94507.58394124197,128703.43788698397,0.9386236109147266,0.9147043549649171,0.6074988134753253,0.00068
3500,105953.23599583804,81821.87433551192,0.9269963397855403,0.9568981647774547,0.6074534140003002,0.0007000000000000001
3600,105470.85897736161,82968.63477491212,0.931052822688612,0.9471760662659067,0.6075934518576271,0.0007199999999999999
3700,111568.49928914667,57966.0111439647,0.9280435103021611,0.961054920190143,0.607653298968975,0.00074
3800,105839.62361119982,80335.93404612315,0.9308712271153312,0.9473861540760018,0.6076271952963582,0.00076
3900,102807.0891997879,91851.73956454654,0.9342469438132153,0.9342793547532949,0.6076055189968323,0.00078
4000,97189.61263685927,114014.08576851615,0.9374364942539117,0.9200495175913856,0.6076485760845319,0.0008
4100,93964.78504316846,126580.9430734317,0.9362508153697373,0.9283355314735579,0.6076208935049472,0.0008200000000000001
4200,89269.23477081349,145094.5072900236,0.9374771094902263,0.9247211780253259,0.607634466711871,0.00084
4300,100683.36835098933,99252.47254004198,0.9330927751103586,0.9361042935982846,0.607633131168162,0.00086
4400,105052.28839851849,81584.07234285849,0.9307395458468679,0.9479382578683934,0.6076304241484365,0.0008799999999999999
4500,90370.66658147976,140201.39715417515,0.9392192793669549,0.9168728115035002,0.6076319880360379,0.0009
4600,108734.80249873051,66667.58188243018,0.9299587040476066,0.9534361237617128,0.6076309270807654,0.00092
4700,103367.2075797434,88090.55266336753,0.9320433805190927,0.9434913332008291,0.6076440304509064,0.00094
4800,92362.19360363348,132082.57290489512,0.9382335682637527,0.9204491522179166,0.6076486049961087,0.00096
4900,104929.56411518718,81774.34690736396,0.9305938651560899,0.9490294455677526,0.6076583190646175,0.00098
