feature,importance
feature_147,643
feature_202,587
feature_56,583
feature_146,564
feature_104,549
feature_70,543
feature_154,541
feature_112,538
feature_0,533
feature_196,533
feature_84,527
feature_168,504
feature_99,503
feature_252,500
feature_273,499
feature_224,499
feature_140,497
feature_266,496
feature_29,491
feature_272,489
feature_34,482
feature_105,480
feature_42,477
feature_90,477
feature_174,465
feature_203,459
feature_126,450
feature_28,436
feature_217,435
feature_175,429
feature_106,424
feature_98,414
feature_43,412
feature_1,411
feature_49,411
feature_238,411
feature_211,409
feature_127,407
feature_230,407
feature_62,403
feature_231,400
feature_182,399
feature_7,395
feature_118,393
feature_218,393
feature_91,390
feature_113,390
feature_160,389
feature_92,388
feature_14,381
feature_85,376
feature_210,376
feature_35,372
feature_155,371
feature_239,371
feature_63,370
feature_245,367
feature_21,364
feature_132,362
feature_71,361
feature_259,360
feature_216,353
feature_183,352
feature_6,351
feature_134,349
feature_76,349
feature_20,345
feature_141,340
feature_189,339
feature_205,336
feature_77,336
feature_258,332
feature_267,327
feature_244,324
feature_176,323
feature_48,321
feature_197,320
feature_169,319
feature_133,315
feature_65,311
feature_225,310
feature_190,310
feature_219,302
feature_57,299
feature_253,299
feature_15,296
feature_50,293
feature_22,290
feature_64,285
feature_188,283
feature_161,282
feature_232,271
feature_119,267
feature_8,259
feature_260,247
feature_107,247
feature_121,245
feature_204,243
feature_177,241
feature_36,239
feature_246,238
feature_149,233
feature_39,230
feature_274,227
feature_148,223
feature_163,223
feature_93,217
feature_51,217
feature_23,211
feature_162,208
feature_9,207
feature_78,199
feature_114,192
feature_191,191
feature_275,188
feature_11,186
feature_95,183
feature_79,183
feature_120,182
feature_37,179
feature_2,177
feature_156,175
feature_86,174
feature_72,173
feature_268,173
feature_109,173
feature_249,172
feature_221,171
feature_135,168
feature_53,165
feature_207,163
feature_261,161
feature_277,161
feature_193,157
feature_44,157
feature_67,155
feature_151,155
feature_165,152
feature_137,151
feature_226,149
feature_170,148
feature_233,146
feature_179,146
feature_58,145
feature_247,145
feature_25,143
feature_142,141
feature_198,139
feature_184,138
feature_123,137
feature_100,135
feature_235,127
feature_81,126
feature_254,126
feature_263,119
feature_30,119
feature_128,119
feature_212,116
feature_240,103
feature_16,90
feature_97,74
feature_41,71
feature_115,68
feature_279,64
feature_73,64
feature_13,59
feature_269,58
feature_111,58
feature_139,57
feature_251,55
feature_55,54
feature_143,52
feature_255,50
feature_181,49
feature_59,49
feature_157,49
feature_199,49
feature_195,48
feature_167,46
feature_31,46
feature_83,44
feature_153,43
feature_223,43
feature_213,42
feature_209,41
feature_3,41
feature_129,39
feature_125,39
feature_171,38
feature_87,38
feature_241,38
feature_45,38
feature_27,37
feature_265,36
feature_69,36
feature_17,35
feature_101,34
feature_185,33
feature_237,33
feature_227,23
feature_256,19
feature_116,19
feature_60,18
feature_74,17
feature_46,16
feature_144,16
feature_130,13
feature_4,13
feature_32,13
feature_200,12
feature_88,11
feature_228,11
feature_242,11
feature_214,10
feature_12,10
feature_158,9
feature_270,9
feature_18,9
feature_145,9
feature_172,9
feature_152,9
feature_103,8
feature_173,8
feature_159,7
feature_102,6
feature_33,6
feature_243,6
feature_215,6
feature_264,5
feature_187,5
feature_47,4
feature_61,4
feature_186,3
feature_278,3
feature_257,3
feature_19,3
feature_66,3
feature_94,3
feature_250,2
feature_89,2
feature_75,2
feature_24,2
feature_229,2
feature_5,2
feature_271,2
feature_131,2
feature_38,1
feature_262,1
feature_222,1
feature_248,1
feature_206,1
feature_150,1
feature_10,1
feature_178,1
feature_180,1
feature_136,1
feature_192,1
feature_201,1
feature_68,1
feature_117,1
feature_80,1
feature_208,0
feature_110,0
feature_166,0
feature_236,0
feature_276,0
feature_234,0
feature_26,0
feature_54,0
feature_138,0
feature_82,0
feature_220,0
feature_194,0
feature_124,0
feature_122,0
feature_96,0
feature_52,0
feature_40,0
feature_108,0
feature_164,0
