feature,importance
feature_60,1596
feature_340,1400
feature_41,1392
feature_220,1392
feature_240,1385
feature_300,1378
feature_380,1342
feature_301,1332
feature_121,1314
feature_280,1295
feature_320,1289
feature_0,1287
feature_200,1272
feature_61,1261
feature_80,1234
feature_360,1230
feature_120,1204
feature_40,1188
feature_180,1178
feature_260,1178
feature_100,1174
feature_160,1168
feature_140,1163
feature_20,1138
feature_81,1062
feature_241,1061
feature_101,1060
feature_341,1059
feature_161,1057
feature_141,1045
feature_261,1012
feature_221,989
feature_381,982
feature_361,952
feature_201,943
feature_181,929
feature_21,910
feature_1,904
feature_281,864
feature_321,794
feature_52,564
feature_312,364
feature_72,363
feature_255,350
feature_92,335
feature_303,331
feature_252,326
feature_392,323
feature_232,315
feature_272,310
feature_132,309
feature_172,300
feature_323,300
feature_152,299
feature_82,295
feature_352,294
feature_62,293
feature_2,290
feature_42,286
feature_112,286
feature_372,283
feature_242,278
feature_362,278
feature_342,276
feature_295,275
feature_222,271
feature_363,270
feature_75,268
feature_302,268
feature_143,266
feature_162,265
feature_292,265
feature_103,265
feature_83,260
feature_212,260
feature_282,256
feature_315,253
feature_163,251
feature_122,251
feature_243,250
feature_142,249
feature_32,246
feature_192,245
feature_355,243
feature_63,243
feature_382,242
feature_22,239
feature_202,237
feature_182,235
feature_123,229
feature_183,228
feature_3,222
feature_283,221
feature_322,215
feature_102,214
feature_262,211
feature_55,207
feature_12,199
feature_263,194
feature_332,184
feature_275,182
feature_135,179
feature_203,171
feature_343,158
feature_115,152
feature_223,145
feature_95,143
feature_43,135
feature_175,133
feature_23,128
feature_54,124
feature_383,116
feature_314,97
feature_394,91
feature_254,77
feature_74,71
feature_306,69
feature_274,65
feature_395,64
feature_236,63
feature_15,62
feature_174,61
feature_114,60
feature_94,60
feature_14,58
feature_134,58
feature_237,58
feature_214,57
feature_334,57
feature_354,54
feature_194,54
feature_154,53
feature_234,53
feature_366,51
feature_186,47
feature_374,45
feature_34,45
feature_136,44
feature_326,44
feature_294,43
feature_86,43
feature_146,43
feature_66,40
feature_235,38
feature_35,37
feature_6,37
feature_206,36
feature_106,35
feature_286,33
feature_126,32
feature_246,32
feature_56,32
feature_166,32
feature_266,30
feature_76,30
feature_375,29
feature_284,26
feature_216,26
feature_304,26
feature_104,25
feature_344,23
feature_184,22
feature_46,21
feature_346,21
feature_26,21
feature_96,20
feature_376,20
feature_305,20
feature_396,18
feature_364,18
feature_116,17
feature_244,17
feature_226,17
feature_386,17
feature_38,17
feature_144,16
feature_4,16
feature_36,15
feature_316,15
feature_224,15
feature_124,15
feature_204,14
feature_335,14
feature_336,13
feature_64,13
feature_196,13
feature_164,13
feature_195,13
feature_24,13
feature_84,13
feature_176,12
feature_356,12
feature_276,12
feature_85,12
feature_125,12
feature_384,11
feature_238,11
feature_324,10
feature_256,10
feature_215,10
feature_156,9
feature_57,9
feature_16,8
feature_285,8
feature_44,7
feature_105,7
feature_65,7
feature_264,6
feature_155,6
feature_296,6
feature_117,6
feature_5,5
feature_245,5
feature_45,5
feature_325,5
feature_265,5
feature_67,4
feature_145,4
feature_25,4
feature_165,4
feature_345,3
feature_365,3
feature_337,3
feature_277,3
feature_205,3
feature_307,3
feature_185,3
feature_385,2
feature_297,2
feature_399,2
feature_17,2
feature_225,2
feature_118,2
feature_197,2
feature_148,2
feature_318,1
feature_108,1
feature_139,1
feature_7,1
feature_78,1
feature_47,1
feature_387,1
feature_367,1
feature_298,1
feature_217,1
feature_99,1
feature_357,1
feature_18,1
feature_317,1
feature_398,1
feature_88,1
feature_89,0
feature_348,0
feature_87,0
feature_79,0
feature_347,0
feature_91,0
feature_349,0
feature_350,0
feature_351,0
feature_77,0
feature_90,0
feature_98,0
feature_339,0
feature_338,0
feature_93,0
feature_97,0
feature_333,0
feature_107,0
feature_331,0
feature_330,0
feature_329,0
feature_328,0
feature_327,0
feature_109,0
feature_110,0
feature_111,0
feature_113,0
feature_353,0
feature_230,0
feature_73,0
feature_28,0
feature_379,0
feature_39,0
feature_37,0
feature_33,0
feature_31,0
feature_30,0
feature_29,0
feature_388,0
feature_377,0
feature_389,0
feature_390,0
feature_391,0
feature_27,0
feature_393,0
feature_19,0
feature_397,0
feature_378,0
feature_48,0
feature_71,0
feature_58,0
feature_70,0
feature_358,0
feature_119,0
feature_69,0
feature_68,0
feature_11,0
feature_59,0
feature_53,0
feature_49,0
feature_51,0
feature_368,0
feature_369,0
feature_370,0
feature_371,0
feature_50,0
feature_373,0
feature_359,0
feature_127,0
feature_319,0
feature_10,0
feature_207,0
feature_199,0
feature_198,0
feature_257,0
feature_258,0
feature_259,0
feature_193,0
feature_191,0
feature_190,0
feature_189,0
feature_188,0
feature_187,0
feature_267,0
feature_268,0
feature_269,0
feature_270,0
feature_271,0
feature_253,0
feature_208,0
feature_251,0
feature_8,0
feature_229,0
feature_233,0
feature_228,0
feature_227,0
feature_9,0
feature_219,0
feature_239,0
feature_218,0
feature_250,0
feature_213,0
feature_211,0
feature_210,0
feature_209,0
feature_247,0
feature_248,0
feature_249,0
feature_179,0
feature_273,0
feature_178,0
feature_130,0
feature_149,0
feature_299,0
feature_147,0
feature_138,0
feature_137,0
feature_133,0
feature_131,0
feature_308,0
feature_151,0
feature_309,0
feature_310,0
feature_311,0
feature_129,0
feature_313,0
feature_128,0
feature_231,0
feature_150,0
feature_153,0
feature_177,0
feature_167,0
feature_173,0
feature_171,0
feature_278,0
feature_279,0
feature_170,0
feature_169,0
feature_168,0
feature_159,0
feature_293,0
feature_158,0
feature_287,0
feature_288,0
feature_289,0
feature_290,0
feature_291,0
feature_157,0
feature_13,0
