Feature,F_Value,P_Value,Mutual_Info,Random_Forest,Gradient_Boosting,Lasso_Coef
X_0,4.818596295153475,0.02853785465950337,0.04831910878744594,0.048310375374341186,0.04304277771558252,88.74901021412713
X_1,3.895270723916431,0.0488821474332161,0.00838797466315011,0.03245265387353552,0.028156052460472068,62.56864390682929
X_2,1.9093350796835105,0.16755311199977188,0.0,0.037705852783363095,0.03942339101451658,63.819014460397085
X_3,0.9229592650920376,0.33708744415896974,0.0,0.03759754211175251,0.02008441629911684,66.78119582200148
X_4,6.567965229123447,0.010626668871434276,0.0,0.04588547078475443,0.039967260182027654,109.8145644093019
X_5,8.625328516662432,0.0034427798366003784,0.02965586396323916,0.08289380329897109,0.08817964733863394,105.51263093691304
X_6,3.0224377967863325,0.0826346183841299,0.04630348618974045,0.04609984656835546,0.04785701486093947,47.157959956854555
X_7,4.917233407772773,0.02696521614421476,0.03608332057612129,0.048700691986358915,0.039967272791914255,88.71967763274229
X_8,18.45498854984291,2.0301574348747254e-05,0.023438138267650288,0.08643811028447371,0.08475187982866687,129.5450056063413
X_9,11.17298165713712,0.0008817928683606263,0.012040111474045823,0.055119453190618645,0.0638691028917289,115.01370511916753
X_10,5.862240252977975,0.01576568601872861,0.015272923466141286,0.07682603618559422,0.08088821069653583,92.18706348492883
X_11,5.793119921576682,0.0163911076382377,0.03857756868859985,0.05293164913941137,0.04328316572719932,80.10532065539002
X_12,14.750067413047189,0.00013584250178738736,0.05145413872667248,0.07372214555872737,0.08049536921621503,139.96428558474594
X_13,1.4363793210721305,0.23120088613033357,0.023779708096996366,0.035624067936231144,0.02878430237385747,47.199061950441724
X_14,4.285598874467574,0.038865232210367126,0.01870779441324233,0.04266571170675105,0.04381135110334859,66.18139609601474
X_15,8.80082658952425,0.0031311939048415866,0.006400761969588942,0.04148213402721922,0.03826947776527487,76.7148133239607
X_16,0.4185116203443002,0.5179288839341358,0.03599274175233358,0.04426782108036192,0.03719102778304829,31.82947515028376
X_17,0.8028025506699374,0.3706172984834841,0.017278475650927216,0.0359971876860712,0.05362192805990776,32.04945798572357
X_18,8.712291245837354,0.0032846168965574626,0.025865875102320413,0.04242950697897705,0.04324567071742066,89.30506397181692
X_19,0.921647108804071,0.337430860779355,0.03806617983526328,0.032849939444130935,0.05511068117359307,20.931084639896255
