dimension,contribution
0.000000000000000000e+00,4.202116699218750000e+02
1.000000000000000000e+00,4.235762634277343750e+02
2.000000000000000000e+00,4.285555725097656250e+02
3.000000000000000000e+00,4.066223754882812500e+02
4.000000000000000000e+00,4.281449890136718750e+02
5.000000000000000000e+00,4.275826416015625000e+02
6.000000000000000000e+00,4.153340759277343750e+02
7.000000000000000000e+00,4.078175659179687500e+02
8.000000000000000000e+00,4.165621948242187500e+02
9.000000000000000000e+00,4.182646484375000000e+02
1.000000000000000000e+01,4.234599914550781250e+02
1.100000000000000000e+01,4.281060485839843750e+02
1.200000000000000000e+01,4.265194396972656250e+02
1.300000000000000000e+01,4.363578186035156250e+02
1.400000000000000000e+01,4.308946838378906250e+02
1.500000000000000000e+01,4.177424316406250000e+02
1.600000000000000000e+01,4.297354431152343750e+02
1.700000000000000000e+01,4.236036682128906250e+02
1.800000000000000000e+01,4.187138977050781250e+02
1.900000000000000000e+01,4.191428833007812500e+02
