train,validation,test
3.660475655975766601e-03,3.885980642002039021e-02,5.123541073278593122e-02
4.332668440555916683e-02,-3.017805033985265784e-02,-8.781162191199200218e-02
3.559978947689733646e-03,-5.531542650000883382e-02,4.819915369350701029e-02
7.573426202845287558e-02,-1.322962483985734294e-01,1.820110682247743847e-02
-2.628811864057961460e-03,1.075473375803196602e-01,9.719251147262492063e-02
-2.720033123793453786e-02,6.135329142488720605e-02,1.772894995393564932e-01
4.214980980780988484e-02,1.563872617853870051e-01,1.478187527888685238e-01
1.766075609750165270e-03,3.102416569519073075e-01,1.702712526186892783e-01
8.307127559614019274e-02,-2.268915709811972041e-03,-6.553006399168750679e-04
1.200596773426907266e-01,1.192066123057538597e-02,1.270710243334986257e-02
3.161236387308254125e-02,-3.337258903921652003e-02,9.699263032677099550e-02
2.403531858028960105e-02,2.187541556826201883e-01,-1.274481927042660050e-02
4.804284916698878249e-02,-5.000211550936236454e-02,-5.118860752890972907e-03
3.934297144952773884e-02,1.092057714116391742e-01,1.567688341461446200e-01
4.033413266708669315e-02,-1.095364786368136778e-01,-1.792348277759856223e-01
5.455934418430490040e-02,-3.700290724454140256e-02,1.204024032746989076e-01
-2.022571197617975894e-02,-1.417520338076789788e-01,2.707525401820297384e-02
1.511025170899119863e-01,1.833547179500132351e-01,4.965969121302540173e-02
6.678422043369980354e-02,1.203954223661477495e-02,1.554572748364499435e-01
4.545806020171218320e-02,2.696032635067938023e-03,1.490619891383302142e-01
6.005039589905687009e-02,-1.368774723441633923e-01,-6.301254297696873286e-02
6.534108344091714426e-02,7.943286400769598854e-02,8.705442948157553207e-02
7.840195505261658704e-02,2.196654510007726643e-02,2.380801509480972022e-01
6.758911411380756629e-02,9.938511668168832636e-02,2.101957688658530332e-01
5.503990476067282395e-02,6.851838367390841733e-02,8.372039623028591782e-02
1.894803840040349546e-02,1.821887415261078946e-01,6.506672273811121843e-02
1.318175992818295117e-01,7.361161553824710491e-02,5.829425927451407224e-02
6.432625933311282573e-02,5.281887079287149456e-02,1.493930326685737053e-01
1.249173259476344250e-01,-2.159593870636066643e-02,1.213448826350810028e-01
9.976599005272457354e-02,1.440779354313974879e-02,5.037088912432541310e-02
1.997889723770250147e-04,1.725802056842032084e-01,2.097994510005179170e-01
1.313094369082326851e-01,-4.430759853677444793e-02,4.764831236550999549e-02
7.630671349333954800e-02,1.302574340943302988e-01,1.529759873345651611e-01
1.619767417450513891e-01,1.433164264629997742e-02,9.219756917094007465e-02
1.152011956323596847e-01,2.198600267764167226e-01,2.308746871934280742e-01
1.295317500762819818e-01,2.259902402050378845e-01,2.193151468378174984e-01
6.039729376388779103e-02,1.694609669784645223e-01,2.506664840113269066e-01
1.254404875237807027e-01,1.086973797951773651e-01,3.968389736882003138e-01
9.308221491885751431e-02,6.451806856384764699e-02,1.290119108578711704e-01
9.133552490628413234e-02,2.144132457258804692e-01,4.194959574875232189e-01
1.250811612093078451e-01,1.558019429366159225e-01,1.563488137466020056e-01
8.886657833936928430e-02,1.877234994581911121e-01,3.731419598806910431e-01
8.682832173694678135e-02,1.559781585382676306e-01,3.769885969584043650e-01
1.792875933577278424e-01,1.587506871108605722e-01,3.716830641121249834e-01
1.991411193896051868e-01,2.478116817085857237e-01,3.785380088765265549e-01
1.046340363752857050e-01,1.553899706691472538e-01,4.391649692235921609e-01
1.580818335737330105e-01,2.079862064311981118e-01,4.455362855807530886e-01
1.765449223620772778e-01,2.571750061240737351e-01,4.442245336152932933e-01
1.538973001128031981e-01,2.494209483430846475e-01,4.699884154008579507e-01
8.273937567297927342e-02,2.378974847596908582e-01,4.321947931718400637e-01
8.448243828529361510e-02,1.124970722743750262e-01,2.161221927003344201e-01
8.468414457489180369e-02,-3.697161975682371204e-02,1.040341860027931692e-01
-1.687479537858895332e-02,1.545775213383348279e-01,1.191298899571376219e-01
4.586838991394822512e-02,1.902089136972315853e-01,1.936612298398365795e-01
4.999162579672595391e-02,2.949916557422760932e-01,9.980217703532842655e-02
5.108636225919689633e-02,1.018337342048211552e-01,2.745065118502552082e-01
8.022611646002868191e-02,-1.082515038292265405e-02,1.476452192820316145e-01
6.657726231793230365e-02,1.748810528729113356e-01,2.261876807698753877e-01
9.796816446064084138e-02,1.492344390386468322e-01,2.460896166159620146e-01
8.803955708111339817e-02,2.388284814589427402e-02,1.205841488801549372e-01
8.647609614728296590e-02,-1.963506066914428028e-01,3.537496092514948610e-03
1.140356547143247246e-01,2.475175164847345788e-01,4.238412237552489220e-02
1.376333567590234119e-01,1.894080330761607409e-02,2.491253259039874213e-01
7.557897813221593764e-02,2.659882396910734914e-01,1.868460880433059079e-01
1.629374629145584341e-01,1.605352755463393122e-01,2.272594440363001067e-01
1.409372530235367127e-01,3.369664922764316062e-01,2.388938340845629671e-01
2.837348632623527822e-02,2.410480966419094317e-01,1.118843376848943499e-01
1.581286528449093176e-01,1.028232706782235134e-01,7.449816208215524760e-02
9.261189017427745584e-02,1.916782046383364579e-01,1.654909326603921094e-01
1.261837748930466907e-01,2.367129573553910793e-01,2.418874263103095723e-01
2.190955903691817475e-01,8.985982074164959588e-02,1.306694484567945125e-01
1.358299544503666911e-01,1.993909021543904259e-01,2.014890263630229328e-01
6.612296069321352276e-02,3.527837925196326135e-02,1.589246049189016741e-01
