train,validation,test
9.540630032627167578e-01,8.920996514148868961e-01,8.778550219003581345e-01
9.547009067262375304e-01,8.919758628603470241e-01,8.830027038330449107e-01
9.522251737672238203e-01,8.972945122768678505e-01,8.839358761373171669e-01
9.595370819801979367e-01,9.055409021904440303e-01,8.891792161946335815e-01
9.578586607210717307e-01,9.009567903422077695e-01,8.859077394563991126e-01
9.559962810223326946e-01,9.068278874943556112e-01,8.864795113302544882e-01
9.561929976145404630e-01,8.989361675296089205e-01,8.827857980630142709e-01
9.552347426496868854e-01,9.017514959356286441e-01,8.816245518715941643e-01
9.534170605811832511e-01,8.944157876336841229e-01,8.936575450257141506e-01
9.541287104314164491e-01,9.029914919352397540e-01,8.872249504796800856e-01
9.545603056709636158e-01,9.000900926751517206e-01,8.886727408339304413e-01
9.579699960898097055e-01,8.996789697013332088e-01,8.884397916223305547e-01
9.597577243802850600e-01,8.981783957961595455e-01,8.977948127604146178e-01
9.584422400364656092e-01,9.089037911355094534e-01,8.849737296829548461e-01
9.552930849029017679e-01,9.027968919418525306e-01,8.697774114316761951e-01
9.539764243526984711e-01,8.911040940495299489e-01,8.777805295646290418e-01
9.553509213577939807e-01,9.100664692812281409e-01,8.941451443615286987e-01
9.559535003678768517e-01,9.026221326527882338e-01,8.921774409480216494e-01
9.549985047313181985e-01,9.066011645452527468e-01,8.941040262215649292e-01
9.572094896995771984e-01,9.020366208128726138e-01,8.963160138611373506e-01
9.561274550852428833e-01,9.057860561564016200e-01,8.991605637775671456e-01
9.566118240985461707e-01,9.051461154081759108e-01,8.844929234892906500e-01
9.545442807796657991e-01,9.136856218648331529e-01,8.957871049016490339e-01
9.582229132378384806e-01,9.074974953685874812e-01,9.014404680180867491e-01
9.589497746361325126e-01,9.110975415468828276e-01,8.975304656779112822e-01
9.529381992184795536e-01,9.148076566425638045e-01,8.964161608483742771e-01
9.602331836329415227e-01,9.158124080910244880e-01,9.033644663852833379e-01
9.575777362246818969e-01,9.081355380016477019e-01,8.979855608701666769e-01
9.605223306504881986e-01,9.022879120253607388e-01,9.046244428924850034e-01
9.559238399397459451e-01,9.205308978679698217e-01,8.954145201331470405e-01
9.535146564144773018e-01,9.116925567734284197e-01,9.012116520779405171e-01
9.555724313683907623e-01,9.171823828375982313e-01,9.036333977087651625e-01
9.618081147944355092e-01,9.060539522882646857e-01,9.005939924768646687e-01
9.597686240311972261e-01,9.190348531601955084e-01,9.091794546046677583e-01
9.587551801121596551e-01,9.109667745264169447e-01,8.970572207240945506e-01
9.488523336149506937e-01,9.088306997334604231e-01,8.957939851641197881e-01
9.500687098040040413e-01,9.089045335517241808e-01,8.912551694144786874e-01
9.564999419892989962e-01,9.147388417911961334e-01,8.994656048342177801e-01
9.588313045197918161e-01,9.126580376768674840e-01,9.045690519796282247e-01
9.587785753306803382e-01,9.212917628649990309e-01,9.040935888805157195e-01
9.581030430431988210e-01,9.070818706915022567e-01,9.002086072731753097e-01
9.583519546764478481e-01,9.151666066465999894e-01,9.111316604661637841e-01
9.605862566396886626e-01,9.154995009963098340e-01,9.086460071317369325e-01
9.613740742123555449e-01,9.247650022410407455e-01,9.092728846237793094e-01
9.652461925428540424e-01,9.150075539979882766e-01,9.121611332545230821e-01
9.620489995985630483e-01,9.182455902548956050e-01,9.150297504616216049e-01
9.659880066701637125e-01,9.107234839689600792e-01,9.027022849683954409e-01
9.600399797240851685e-01,9.085079293904096964e-01,9.103050943129722405e-01
9.606913897758404541e-01,9.115622574746892193e-01,9.095828760353272813e-01
9.626231367022427543e-01,9.189679985816421315e-01,9.129178859738088514e-01
9.593188788661767274e-01,9.141520137466201401e-01,9.039728467798845424e-01
9.635400716416914202e-01,9.070664343810533881e-01,8.956524430821687366e-01
9.591353186051313484e-01,9.201998074824605522e-01,9.175697507866567015e-01
9.625176502942031087e-01,9.127282132705707429e-01,9.063379214436274589e-01
9.595518632017304705e-01,9.178103809434865479e-01,9.024479339244808607e-01
9.691123237170612414e-01,9.218268908916401605e-01,9.183409533103590316e-01
9.757530420549399564e-01,9.277200753321073190e-01,9.241262466230568684e-01
9.786117024234781692e-01,9.263407889045185417e-01,9.219129709933727712e-01
9.778319561540500526e-01,9.304743125934510362e-01,9.246360237711940266e-01
9.783557696385832836e-01,9.276305656560173141e-01,9.236040303068596691e-01
9.775945927252989165e-01,9.292829636893248368e-01,9.246031213069280108e-01
9.779596626985688212e-01,9.297796748400869449e-01,9.264719637192804225e-01
9.778944835257464829e-01,9.264750199249147666e-01,9.249873451055509177e-01
9.783219540268459635e-01,9.296830234860341546e-01,9.251691225747170622e-01
9.770201620007188392e-01,9.287211538380557574e-01,9.251347097753311877e-01
9.767555194930068740e-01,9.268344816708078415e-01,9.285580134234217020e-01
9.780431878631652420e-01,9.284147504328131850e-01,9.278669588736170315e-01
9.778955954014294516e-01,9.282999930953411694e-01,9.278206506365449524e-01
9.736800745400701063e-01,9.240578382845150429e-01,9.264583677709775644e-01
9.740713324755864155e-01,9.302384195291150126e-01,9.246736257825481919e-01
9.732512809418141231e-01,9.211669887611046992e-01,9.253390895822487527e-01
9.733014823842608410e-01,9.298299318708607153e-01,9.251708722488892755e-01
9.776880924328683609e-01,9.237375762479372865e-01,9.262395149689491847e-01
9.811495542725674479e-01,9.304341389720824917e-01,9.302750407997620874e-01
9.824770175580436193e-01,9.305095392385772657e-01,9.295092247801159946e-01
9.827195084025742711e-01,9.316865999350052441e-01,9.301272678185880105e-01
9.834481082952732933e-01,9.305804466533583730e-01,9.292769564983315300e-01
9.823330099288414274e-01,9.317325969844278966e-01,9.305339939541845684e-01
9.831983747834313059e-01,9.301238119606406451e-01,9.310025387941637254e-01
9.830205368369780983e-01,9.321888256043853183e-01,9.295674405594668288e-01
9.833144461300454831e-01,9.319415104231307811e-01,9.322356776753131236e-01
9.837745286151834412e-01,9.319791224637348215e-01,9.316995352507437822e-01
9.830327072196725080e-01,9.321346928998084369e-01,9.316413324666543705e-01
9.827391396859124217e-01,9.326601619466348136e-01,9.323554934393990523e-01
9.847938646995847423e-01,9.327725930431228774e-01,9.316583441953874001e-01
9.846336249891437520e-01,9.326563426004434998e-01,9.324136315430789912e-01
9.848076329742647683e-01,9.330498883262868803e-01,9.328107911458374257e-01
9.849234912272228915e-01,9.324129517010627533e-01,9.329150364341510793e-01
9.850407599926909175e-01,9.330408376765451095e-01,9.328205313947637300e-01
9.850980079752359453e-01,9.325467602956345470e-01,9.325832344200846169e-01
9.850469907243101231e-01,9.328373281773172376e-01,9.331429836999820537e-01
9.851658867007295761e-01,9.326456878697073627e-01,9.325365929725698555e-01
9.851105100831712980e-01,9.326841232719158548e-01,9.333090862889369399e-01
9.850692687280572235e-01,9.336473047311451001e-01,9.334890458770416233e-01
9.850760439902279675e-01,9.323783820485610496e-01,9.327632609043237100e-01
9.857654291681640091e-01,9.329793561138139957e-01,9.329746791109381210e-01
9.859212897330368319e-01,9.330816582088347078e-01,9.335433821106754460e-01
9.859601561753785770e-01,9.330637386530147293e-01,9.333286186639765392e-01
9.859870496695153363e-01,9.335900462155644064e-01,9.332659199055184374e-01
9.859140168596536302e-01,9.329847694886307385e-01,9.337973237946169958e-01
9.855898573089847403e-01,9.333859261063502943e-01,9.333452103329286098e-01
9.858887312063686625e-01,9.334478354688066082e-01,9.331208469318374998e-01
