,dimension,mean_contribution,std_contribution,min_contribution,max_contribution,abs_mean_contribution
0,1,-7.797800538631462,197.38276596379356,-418.9827640161443,418.8645176098541,153.60868866180041
1,2,-2.2702467976724026,191.86629493583246,-418.9827640161443,418.8486470214627,149.30448594199737
2,3,-7.704887604992651,181.64698672967913,-418.9827640161443,418.9827640161443,142.48338142140332
3,4,19.8305642760783,189.7303074917556,-418.9827640161443,418.9827640161443,146.56174832455343
4,5,-9.34438893534045,207.69396451977855,-418.9827640161443,418.8645176098541,164.85574500775826
5,6,-5.154292944245947,198.48250140025308,-417.8725384273932,418.9827640161443,154.84880081396403
6,7,7.6955948478073655,190.0641155669595,-418.8645176098541,418.8645176098541,147.31272919716167
7,8,1.8316704139394688,197.5600437595845,-418.49427060384335,418.8486470214627,157.42847621034014
8,9,4.751448208691578,193.7648769374321,-417.8725384273932,418.8645176098541,153.53403477001305
9,10,2.3844501202447423,198.82548266566414,-418.9827640161443,418.8486470214627,158.79819694975043
10,11,4.346969778857871,194.0760362556393,-417.82263263500454,418.8645176098541,153.6813121901169
11,12,-3.316861447969404,198.99699797982203,-418.8486470214627,418.8486470214627,157.551730481561
12,13,5.980884823424471,193.64897358571935,-418.8486470214627,418.8486470214627,150.04059101144884
13,14,-16.56074948047177,193.96433796434494,-418.8486470214627,418.9827640161443,152.86952926409157
14,15,-3.208167181783898,194.98450203577863,-418.9827640161443,418.9827640161443,153.77317383471868
15,16,6.2356482030821265,182.2784748741158,-418.49427060384335,418.8486470214627,141.3898653211445
16,17,-4.546444338364102,194.8262550436879,-418.49427060384335,418.8486470214627,153.1663094643514
17,18,-0.2735461000020786,188.9589771689528,-418.9827640161443,418.9827640161443,147.8539926454992
18,19,-4.344330606595708,201.46172784006836,-418.9827640161443,418.8486470214627,158.9636379594136
19,20,5.322260951933052,199.1394566863342,-418.8486470214627,418.8645176098541,157.7058957374575
