train,validation,test
8.619491895545143556e-02,-4.653377412682812610e-03,9.493278418457086476e-02
7.887634806560861467e-02,-2.912948531791188789e-02,-3.955512693481522818e-02
1.000168586654196501e-01,2.964951760915047196e-01,3.562697817438447712e-01
2.293406467134884719e-01,1.924823552812152117e-01,3.217823016022543503e-01
2.471200676687508591e-01,2.362448894195387228e-01,2.682312654202512192e-01
2.380087542206148488e-01,1.987566193237724210e-01,3.108005529932509337e-01
2.493701710816960404e-01,1.314629925544306133e-01,2.942641436830256696e-01
2.837997543608594686e-01,2.477505985184780823e-01,4.044772656679513911e-01
2.542534354636816207e-01,1.677003842232413777e-01,2.927814408456471118e-01
2.551660864797479222e-01,2.793303812534014274e-01,2.613949239711939043e-01
2.694725264526017794e-01,3.415289969304027839e-01,3.937844565834014987e-01
2.521036570321271153e-01,1.718848862924935161e-01,3.827446674910786051e-01
2.650715526290744473e-01,2.905997113189468517e-01,4.003884062612620420e-01
3.554160210980367718e-01,1.812719002477709562e-01,1.962801270251210706e-01
2.263483773192962178e-01,2.430549225427089122e-01,3.581020242470163706e-01
2.949690553716788344e-01,2.219136684403146542e-01,3.569697441005594829e-01
2.852039228613539312e-01,2.846812657777452737e-01,3.429478165926613253e-01
3.727141328054158209e-01,2.674454447016820224e-01,3.897434071516198140e-01
3.041741546702970145e-01,1.786970895178889851e-01,3.206926164061285056e-01
2.968132548042780594e-01,2.577379530421602394e-01,3.366460703794874609e-01
3.757209863736021838e-01,3.007476889747911497e-01,2.972816205104868992e-01
3.522384218962781866e-01,2.532555797321008328e-01,4.094217279588060476e-01
3.592665984772263066e-01,2.884977121549045509e-01,3.774696569948732816e-01
3.951829054471023839e-01,2.852053672616929880e-01,3.577109803758972140e-01
3.469289996323987046e-01,2.564877703004390663e-01,3.686785672661327951e-01
3.098192807251687331e-01,2.146182612108452348e-01,3.687213918277164049e-01
3.952063365327751487e-01,2.464431679488335025e-01,3.715939247314702931e-01
3.630787984246470201e-01,2.518263468340735112e-01,3.485735751369713475e-01
4.132966574758594192e-01,2.836090829098003030e-01,3.023421920900697946e-01
3.767597098708169723e-01,1.936577698933245051e-01,3.943067436192690400e-01
3.782945668463955080e-01,3.208410772570922109e-01,3.938788491282853577e-01
4.085753193368881764e-01,3.244835934493189855e-01,3.604071650126158821e-01
4.141867481289769337e-01,2.634755210024283256e-01,3.594525358934724246e-01
4.142742277029162756e-01,2.855139541908088274e-01,3.357514219885263107e-01
3.371307325553756229e-01,2.688110120591765684e-01,3.661636596026860979e-01
4.504987565480175760e-01,2.911162047394020846e-01,3.551799060534034380e-01
3.961191069658244190e-01,2.881137730126274166e-01,3.891155288208932861e-01
4.003946456227318595e-01,2.888351362954190704e-01,4.586150314939193562e-01
4.203503202149194151e-01,1.970597727371320718e-01,3.038921904585273337e-01
4.522032482782862295e-01,2.871578065783414457e-01,3.485102548266515998e-01
3.937270840630922031e-01,2.894823190273057012e-01,3.908000891907905117e-01
4.614900161289251512e-01,2.478004920976995262e-01,4.175774275199079510e-01
