dimension,contribution
0.000000000000000000e+00,4.252496948242187500e+02
1.000000000000000000e+00,4.460462036132812500e+02
2.000000000000000000e+00,4.214527587890625000e+02
3.000000000000000000e+00,3.869655151367187500e+02
4.000000000000000000e+00,4.366094665527343750e+02
5.000000000000000000e+00,4.115309753417968750e+02
6.000000000000000000e+00,4.249037170410156250e+02
7.000000000000000000e+00,4.174031982421875000e+02
8.000000000000000000e+00,3.987828369140625000e+02
9.000000000000000000e+00,4.165480346679687500e+02
1.000000000000000000e+01,4.242579040527343750e+02
1.100000000000000000e+01,4.328420715332031250e+02
1.200000000000000000e+01,4.048002624511718750e+02
1.300000000000000000e+01,4.366776428222656250e+02
1.400000000000000000e+01,4.378444824218750000e+02
1.500000000000000000e+01,4.115841369628906250e+02
1.600000000000000000e+01,4.501639099121093750e+02
1.700000000000000000e+01,4.311692504882812500e+02
1.800000000000000000e+01,4.283073425292968750e+02
1.900000000000000000e+01,4.140525817871093750e+02
