feature,importance
feature_168,1424
feature_85,1368
feature_188,1294
feature_84,1093
feature_154,1065
feature_105,1061
feature_210,1009
feature_20,963
feature_146,954
feature_62,910
feature_259,904
feature_211,887
feature_202,881
feature_132,875
feature_174,863
feature_118,855
feature_90,853
feature_112,833
feature_147,806
feature_21,784
feature_49,776
feature_6,772
feature_189,769
feature_203,764
feature_77,764
feature_1,750
feature_76,750
feature_160,737
feature_253,734
feature_51,734
feature_273,725
feature_252,721
feature_217,721
feature_266,720
feature_70,719
feature_177,700
feature_258,696
feature_29,695
feature_182,689
feature_98,689
feature_140,685
feature_169,684
feature_43,682
feature_224,677
feature_272,675
feature_42,674
feature_50,673
feature_183,673
feature_196,673
feature_95,670
feature_99,665
feature_63,661
feature_56,653
feature_104,651
feature_230,649
feature_216,646
feature_34,632
feature_141,631
feature_120,622
feature_245,620
feature_0,615
feature_91,607
feature_244,605
feature_155,601
feature_28,591
feature_205,591
feature_126,586
feature_197,582
feature_7,578
feature_231,575
feature_127,574
feature_35,567
feature_232,557
feature_48,557
feature_267,547
feature_239,542
feature_133,541
feature_225,532
feature_161,528
feature_238,527
feature_219,526
feature_113,526
feature_106,526
feature_176,525
feature_233,521
feature_218,520
feature_119,520
feature_175,513
feature_57,512
feature_121,507
feature_170,506
feature_14,502
feature_92,489
feature_64,486
feature_221,483
feature_15,478
feature_71,478
feature_134,474
feature_22,466
feature_204,462
feature_162,461
feature_263,452
feature_246,437
feature_191,434
feature_8,426
feature_78,421
feature_260,416
feature_86,416
feature_65,404
feature_274,404
feature_36,399
feature_261,397
feature_190,367
feature_156,364
feature_23,363
feature_212,354
feature_107,352
feature_93,351
feature_247,337
feature_149,329
feature_275,325
feature_148,316
feature_39,313
feature_179,311
feature_109,310
feature_165,307
feature_9,299
feature_97,297
feature_114,296
feature_163,294
feature_193,292
feature_135,290
feature_268,289
feature_37,288
feature_79,286
feature_53,283
feature_11,280
feature_151,276
feature_207,274
feature_198,273
feature_72,256
feature_277,256
feature_142,253
feature_100,252
feature_254,247
feature_58,246
feature_226,244
feature_44,244
feature_137,241
feature_235,241
feature_123,227
feature_67,218
feature_249,217
feature_25,214
feature_81,211
feature_16,204
feature_2,200
feature_128,196
feature_184,196
feature_240,188
feature_171,177
feature_30,175
feature_223,174
feature_265,163
feature_157,137
feature_111,127
feature_41,125
feature_213,124
feature_167,121
feature_181,121
feature_87,119
feature_115,118
feature_199,116
feature_101,114
feature_13,112
feature_55,111
feature_73,104
feature_195,101
feature_209,101
feature_227,100
feature_255,97
feature_153,95
feature_251,95
feature_279,94
feature_59,88
feature_45,87
feature_129,87
feature_139,87
feature_27,86
feature_269,86
feature_3,84
feature_143,83
feature_185,82
feature_125,78
feature_17,77
feature_237,77
feature_83,77
feature_31,73
feature_69,70
feature_241,69
feature_172,62
feature_158,53
feature_214,51
feature_88,45
feature_116,40
feature_46,37
feature_200,36
feature_228,36
feature_32,35
feature_4,34
feature_256,34
feature_173,34
feature_144,33
feature_130,31
feature_102,31
feature_18,30
feature_60,29
feature_74,27
feature_186,26
feature_242,24
feature_270,22
feature_229,19
feature_89,17
feature_117,16
feature_159,16
feature_47,14
feature_61,13
feature_215,13
feature_75,13
feature_201,12
feature_33,12
feature_257,11
feature_145,11
feature_187,11
feature_271,10
feature_220,9
feature_243,9
feature_103,8
feature_19,8
feature_264,7
feature_122,7
feature_178,6
feature_131,6
feature_94,5
feature_180,5
feature_192,5
feature_166,5
feature_248,5
feature_206,5
feature_262,5
feature_108,4
feature_66,4
feature_24,4
feature_96,4
feature_236,4
feature_10,4
feature_40,4
feature_222,3
feature_136,3
feature_138,3
feature_5,3
feature_234,3
feature_80,3
feature_250,3
feature_164,2
feature_276,2
feature_68,2
feature_26,2
feature_54,2
feature_124,1
feature_194,1
feature_52,1
feature_152,1
feature_82,1
feature_12,1
feature_38,1
feature_278,1
feature_208,1
feature_150,0
feature_110,0
