feature,importance
feature_116,0.01220395543648609
feature_115,0.012164529529321701
feature_114,0.012104668135859302
feature_112,0.012084961374256282
feature_124,0.011835080973912452
feature_122,0.01175128063961621
feature_117,0.011482176836485957
feature_120,0.007741389438014173
feature_121,0.007556958693256092
feature_12,0.007458723699760249
feature_4,0.007255038778115759
feature_73,0.007196606266847987
feature_82,0.007128844323577836
feature_10,0.007104986225490838
feature_80,0.007058757680546199
feature_75,0.006952006949161008
feature_0,0.0069458203695108925
feature_166,0.006939473596745926
feature_72,0.006892425841786591
feature_156,0.006875804301398342
feature_3,0.006797234387257648
feature_164,0.006759055567475382
feature_158,0.00671664955689604
feature_74,0.006670400992402605
feature_2,0.006616298350993356
feature_70,0.006579530412069248
feature_159,0.006360246269968289
feature_157,0.006330188541240014
feature_154,0.006297050580402515
feature_5,0.006090054531288516
feature_178,0.005721123551646588
feature_162,0.005715395261106373
feature_170,0.005707403548017478
feature_168,0.005688836624786591
feature_172,0.005504064915755437
feature_140,0.005502579376800475
feature_171,0.005486579492908273
feature_173,0.0052777608113684
feature_180,0.005230225012286875
feature_59,0.005177080140172798
feature_142,0.005173391816203549
feature_144,0.005106634745180473
feature_152,0.005081136780639632
feature_143,0.005040100466873494
feature_9,0.004982265438496614
feature_60,0.004963758620848784
feature_203,0.004884835073252491
feature_145,0.004854466023637462
feature_262,0.004841371661917815
feature_150,0.004823807234827297
feature_163,0.00473446956328058
feature_68,0.004734464224666605
feature_66,0.004697981945440973
feature_255,0.004671214329749091
feature_252,0.004634465456650769
feature_257,0.004536065281994467
feature_88,0.004520380169490461
feature_58,0.004513308453701522
feature_264,0.004479243823718224
feature_8,0.004478414467680514
feature_61,0.004369754454870909
feature_256,0.004369310245823838
feature_107,0.004321157290778359
feature_56,0.0042699860560930485
feature_94,0.0042613064447105
feature_199,0.004257881467589258
feature_106,0.004256054583915265
feature_224,0.004193000996975928
feature_226,0.0041752761361162115
feature_254,0.004167586074183114
feature_228,0.0041448219177028746
feature_130,0.004143285826414887
feature_234,0.004131809851389004
feature_36,0.004104426971556472
feature_218,0.004093329389010525
feature_89,0.004087404497595092
feature_87,0.004067768583534252
feature_84,0.004059657339176674
feature_176,0.0039934025451257345
feature_236,0.003990956613465646
feature_200,0.003985420558963174
feature_229,0.003979843048058197
feature_227,0.0039755749247991756
feature_96,0.003969371116542891
feature_196,0.00395571835066463
feature_198,0.003954879726553678
feature_103,0.0038814458791090606
feature_206,0.0038541752035301698
feature_230,0.003822512079040598
feature_138,0.0038058012618024466
feature_37,0.003795372665228708
feature_128,0.0037189424702987746
feature_212,0.0037077637208876887
feature_220,0.0036796127090659055
feature_214,0.0036708801947837617
feature_131,0.0036587199190837166
feature_210,0.003657130029276868
feature_219,0.0036551950348162584
feature_208,0.003634218880142723
feature_110,0.003620006105893579
feature_86,0.0036189007283258766
feature_98,0.0035928820992311514
feature_101,0.0035914400097376447
feature_76,0.0035863719576678735
feature_136,0.003570397142533261
feature_201,0.0035679694461796738
feature_126,0.0035633703618316507
feature_30,0.0035492702164476937
feature_125,0.003505907586444175
feature_129,0.003478049635009368
feature_108,0.0034774421856240577
feature_222,0.0034731516817225316
feature_93,0.0034695450822140564
feature_40,0.003457827898180885
feature_33,0.0034454562267798253
feature_38,0.003431591797065734
feature_102,0.0034183161608317652
feature_100,0.0034129467323222363
feature_123,0.0034060655445700663
feature_213,0.0034013809701949663
feature_32,0.0033846677387339903
