feature,importance
feature_239,359
feature_47,355
feature_1847,248
feature_431,198
feature_287,92
feature_1751,73
feature_1799,57
feature_286,39
feature_285,35
feature_1411,32
feature_224,31
feature_1808,28
feature_1750,26
feature_1747,26
feature_443,26
feature_191,25
feature_215,23
feature_487,20
feature_214,19
feature_1814,19
feature_1763,18
feature_231,18
feature_602,18
feature_1354,18
feature_516,17
feature_1038,17
feature_209,16
feature_1504,15
feature_710,15
feature_714,14
feature_544,14
feature_502,14
feature_609,14
feature_1417,14
feature_1302,14
feature_199,13
feature_1085,13
feature_1063,13
feature_486,12
feature_1438,12
feature_792,12
feature_684,12
feature_1307,11
feature_1786,11
feature_1434,11
feature_828,11
feature_561,11
feature_785,11
feature_1449,11
feature_210,10
feature_450,10
feature_1703,10
feature_616,10
feature_263,10
feature_1557,10
feature_1145,10
feature_998,10
feature_628,9
feature_1486,9
feature_206,9
feature_1437,9
feature_1583,9
feature_1335,9
feature_1334,9
feature_233,9
feature_252,9
feature_1789,9
feature_832,9
feature_775,9
feature_932,9
feature_143,9
feature_463,8
feature_536,8
feature_195,8
feature_1518,8
feature_201,8
feature_1471,8
feature_567,8
feature_213,8
feature_1599,8
feature_1274,8
feature_1000,8
feature_833,8
feature_1791,8
feature_1218,8
feature_955,8
feature_661,8
feature_1151,8
feature_1742,8
feature_480,8
feature_1217,8
feature_924,8
feature_274,7
feature_1695,7
feature_1531,7
feature_1108,7
feature_1078,7
feature_774,7
feature_541,7
feature_546,7
feature_237,7
feature_626,7
feature_496,7
feature_216,7
feature_1262,7
feature_1285,7
feature_1414,7
feature_197,7
feature_1397,7
feature_717,7
feature_1116,7
feature_558,7
feature_1830,7
feature_279,7
feature_1551,7
feature_204,7
feature_1476,6
feature_1558,6
feature_1515,6
feature_1292,6
feature_1805,6
feature_1027,6
feature_1843,6
feature_1532,6
feature_1203,6
feature_529,6
feature_1370,6
feature_1251,6
feature_976,6
feature_1270,6
feature_1168,6
feature_251,6
feature_992,6
feature_917,6
feature_883,6
feature_601,6
feature_1401,6
feature_927,6
feature_1779,6
feature_1320,6
feature_986,5
feature_629,5
feature_1247,5
feature_1450,5
feature_1242,5
feature_276,5
feature_1254,5
feature_1559,5
feature_23,5
feature_1464,5
feature_954,5
feature_1267,5
feature_666,5
feature_1391,5
feature_673,5
feature_693,5
feature_1845,5
feature_95,5
feature_1337,5
feature_226,5
feature_1170,5
feature_1304,5
feature_262,5
feature_796,5
feature_1821,5
feature_37,5
feature_517,5
feature_1317,5
feature_1360,5
feature_1071,5
feature_1068,5
feature_1365,5
feature_1053,5
feature_238,5
feature_1040,5
feature_1475,5
feature_805,5
feature_228,5
feature_931,5
feature_798,5
feature_1017,5
feature_1226,5
feature_764,5
feature_250,4
feature_928,4
feature_255,4
feature_1715,4
feature_208,4
feature_225,4
feature_1319,4
feature_267,4
feature_1394,4
feature_1375,4
feature_1284,4
feature_277,4
feature_235,4
feature_1679,4
feature_1293,4
feature_769,4
feature_1328,4
feature_801,4
feature_217,4
feature_906,4
feature_219,4
feature_747,4
feature_826,4
feature_203,4
feature_527,4
feature_563,4
feature_1790,4
feature_1793,4
feature_1034,4
feature_1511,4
feature_1749,4
feature_3,4
feature_533,4
feature_524,4
feature_1235,4
feature_1196,4
feature_410,4
feature_1183,4
feature_1837,4
feature_1163,4
feature_475,4
feature_434,4
feature_446,4
feature_604,4
feature_1050,4
feature_620,4
feature_964,4
feature_715,4
feature_1269,4
feature_958,4
feature_960,4
feature_1338,4
feature_1442,4
feature_993,4
feature_1668,3
feature_451,3
feature_806,3
feature_1690,3
feature_701,3
feature_1420,3
feature_515,3
feature_1548,3
feature_422,3
feature_493,3
feature_281,3
feature_504,3
feature_509,3
feature_671,3
feature_663,3
feature_1451,3
feature_384,3
feature_562,3
feature_1683,3
feature_1681,3
feature_765,3
feature_1702,3
feature_534,3
feature_1607,3
feature_1447,3
feature_519,3
feature_1362,3
feature_1383,3
feature_1358,3
feature_783,3
feature_1377,3
feature_523,3
feature_662,3
feature_1462,3
feature_1177,3
feature_243,3
feature_1171,3
feature_1758,3
feature_234,3
feature_1736,3
feature_1109,3
feature_1016,3
feature_945,3
feature_1095,3
feature_942,3
feature_229,3
feature_1024,3
feature_1079,3
feature_39,3
feature_194,3
feature_910,3
feature_911,3
feature_1809,3
feature_1062,3
