feature,importance
feature_96,329
feature_120,314
feature_144,313
feature_132,311
feature_48,287
feature_24,277
feature_192,274
feature_36,264
feature_168,255
feature_64,247
feature_60,245
feature_156,239
feature_204,232
feature_216,231
feature_0,230
feature_105,223
feature_233,221
feature_228,218
feature_33,216
feature_108,214
feature_72,214
feature_213,213
feature_160,206
feature_28,203
feature_172,201
feature_90,200
feature_113,199
feature_184,196
feature_232,193
feature_197,191
feature_76,191
feature_125,188
feature_100,187
feature_112,186
feature_173,182
feature_45,181
feature_69,180
feature_153,175
feature_88,172
feature_148,170
feature_53,169
feature_165,167
feature_162,167
feature_89,166
feature_124,164
feature_129,164
feature_161,162
feature_175,159
feature_141,159
feature_93,158
feature_196,158
feature_177,157
feature_201,156
feature_29,156
feature_180,154
feature_81,150
feature_149,149
feature_65,148
feature_225,147
feature_78,146
feature_220,145
feature_12,145
feature_4,145
feature_21,144
feature_9,144
feature_237,143
feature_103,141
feature_84,141
feature_16,140
feature_52,139
feature_208,137
feature_221,136
feature_186,136
feature_189,135
feature_101,133
feature_151,130
feature_77,129
feature_209,127
feature_136,126
feature_174,123
feature_138,123
feature_187,121
feature_40,121
feature_57,120
feature_7,117
feature_6,116
feature_31,115
feature_42,115
feature_139,113
feature_210,112
feature_41,112
feature_91,112
feature_5,108
feature_137,108
feature_17,106
feature_30,106
feature_66,106
feature_102,106
feature_234,102
feature_185,101
feature_117,101
feature_150,100
feature_55,99
feature_54,98
feature_198,96
feature_97,96
feature_114,95
feature_18,92
feature_49,92
feature_79,92
feature_145,91
feature_19,90
feature_229,89
feature_127,87
feature_163,87
feature_121,86
feature_67,86
feature_1,84
feature_133,84
feature_193,83
feature_157,81
feature_169,79
feature_25,79
feature_61,79
feature_217,75
feature_222,74
feature_37,72
feature_205,71
feature_107,71
feature_47,70
feature_126,68
feature_211,67
feature_115,67
feature_35,65
feature_199,63
feature_155,62
feature_109,61
feature_73,60
feature_181,59
feature_43,57
feature_83,57
feature_215,56
feature_223,55
feature_239,55
feature_85,53
feature_167,52
feature_235,50
feature_71,49
feature_95,48
feature_227,45
feature_119,44
feature_131,44
feature_23,43
feature_13,43
feature_179,42
feature_59,41
feature_11,41
feature_191,40
feature_143,38
feature_203,36
feature_50,34
feature_170,33
feature_122,30
feature_146,28
feature_218,26
feature_134,26
feature_110,25
feature_158,24
feature_38,23
feature_74,23
feature_206,22
feature_62,21
feature_98,21
feature_26,18
feature_86,18
feature_2,17
feature_230,16
feature_182,15
feature_194,15
feature_195,11
feature_99,11
feature_147,9
feature_87,9
feature_39,8
feature_51,8
feature_27,8
feature_111,8
feature_171,7
feature_63,7
feature_226,7
feature_3,7
feature_207,7
feature_159,6
feature_123,6
feature_75,6
feature_20,5
feature_14,5
feature_140,5
feature_56,5
feature_15,5
feature_104,5
feature_135,4
feature_231,4
feature_219,4
feature_154,4
feature_212,4
feature_200,3
feature_190,3
feature_164,3
feature_92,3
feature_183,3
feature_8,2
feature_128,2
feature_46,2
feature_68,2
feature_116,2
feature_236,2
feature_58,2
feature_152,2
feature_188,1
feature_202,1
feature_32,1
feature_10,1
feature_176,1
feature_166,1
feature_238,0
feature_178,0
feature_94,0
feature_22,0
feature_82,0
feature_224,0
feature_34,0
feature_44,0
feature_80,0
feature_214,0
feature_130,0
feature_142,0
feature_118,0
feature_70,0
feature_106,0
