iteration,train_loss,val_loss,train_pearson,val_pearson,test_pearson,learning_rate
0,774741.3594335405,801691.4714263378,0.39618593776626865,0.3316154500308396,0.23423431200745518,0.0001
100,744450.9709243856,788429.7226886385,0.7127543459192371,0.38245149304953946,0.4196111301443231,0.0001
200,665118.0907463648,758613.1083598551,0.7487861206902497,0.3883271813118993,0.4466048607245031,0.0001
300,565985.7381184555,721304.212781935,0.7889204020182807,0.42760252090092765,0.46851591230291956,0.0001
400,459146.25200530206,691505.950728992,0.8405105645009494,0.4488273545887411,0.49549257567205035,0.0001
500,359401.37208609533,657202.1731102027,0.8748869758913859,0.4831189294209358,0.5272152328406802,0.0001
600,278528.93429134914,630889.6552699534,0.9045896338647449,0.5085537828897342,0.5420644743722081,0.00012
700,219161.088771033,605187.1827570386,0.9254549757593493,0.538773971954635,0.5564504636116264,0.00014000000000000001
800,175200.34703117926,591511.4473192634,0.9398141625783027,0.5493786956389242,0.5578783521156022,0.00016
900,141688.7214731121,580150.6749556616,0.9517534304629272,0.5607935262667146,0.5583946604737742,0.00017999999999999998
1000,114544.37864942756,570094.0519111876,0.9607259182969029,0.5711734393650661,0.5645112127126614,0.0002
1100,93898.62345207378,564655.5768772749,0.967297438047108,0.575543768331537,0.5635427458690218,0.00021999999999999998
1200,77403.68092416917,560055.43047984,0.9731473883449717,0.5800121191370958,0.5695696303301457,0.00024
1300,64713.0951822065,556856.922773544,0.9779566265941602,0.5806832564276168,0.5701539240336874,0.00026
1400,54096.08852495641,553210.2759922441,0.9816159057797065,0.5838379429245615,0.5725999964465505,0.00028000000000000003
1500,45764.633964105524,550026.4727022441,0.9843726494656522,0.587251932699809,0.5715948584470808,0.0003
1600,38714.678377623415,545011.5560885189,0.9866467874210417,0.5923100391560705,0.5721842053745818,0.00032
1700,32826.8904895558,542847.1408669642,0.9884332455099285,0.5933362666058888,0.5731694033166972,0.00034
1800,28120.650941190124,541171.810413578,0.990093792062414,0.5947996408061642,0.5741121824861878,0.00035999999999999997
1900,24292.618626855383,539646.0782111429,0.9913085308221798,0.5956286738295871,0.5753059368101267,0.00038
2000,21131.15332685321,538403.3852860035,0.9924009831327671,0.5965274796157081,0.5757379047420473,0.0004
2100,18466.70544978178,538395.063226108,0.9933580095830212,0.5957088675907056,0.5751585621598413,0.00042
2200,16270.773052601644,538224.5900537195,0.9941291559818899,0.5953499690357047,0.5740531427070892,0.00043999999999999996
2300,14464.49928083018,537836.9246006118,0.9947758660781028,0.5950964223131332,0.5739035829855602,0.00046
