iteration,train_loss,val_loss,train_pearson,val_pearson,test_pearson,learning_rate
0,780198.984552506,780976.6739255029,0.4538135735322222,0.29460114626592493,0.25235653164476535,0.0001
100,751080.8896138109,766091.2467168926,0.6742268892107788,0.38790239584113395,0.4117554494718385,0.0001
200,676894.6863008562,728329.7865310558,0.7488163572098144,0.4820064189411884,0.4490050016380749,0.0001
300,576921.0743834092,686058.0799574943,0.8004939360250457,0.5066701971757274,0.45669789925002746,0.0001
400,467725.2216994269,637266.7946574271,0.8477072652343233,0.556509378911158,0.5143079295751938,0.0001
500,363179.7233380922,596303.2822088314,0.8883753654642647,0.5802899294430939,0.5525975963289378,0.0001
600,282297.7960998486,566562.5103152316,0.909003261761283,0.593607009532443,0.5572685634933837,0.00012
700,222169.42758110407,552544.6559951801,0.9259274116175972,0.5887972303181979,0.5624861915913433,0.00014000000000000001
800,178630.91361807176,539623.3243853139,0.9392053800817013,0.5927424295174275,0.5694706831237981,0.00016
900,143351.86940632472,536221.3461189705,0.9504896575937586,0.5910182138705729,0.5685035161250528,0.00017999999999999998
1000,116357.18962085363,529286.5440772084,0.960392753600257,0.594511921608406,0.5696940674617174,0.0002
1100,95599.14584203604,525244.1454241015,0.9675511110877492,0.5963306151328571,0.5711390550082603,0.00021999999999999998
1200,78856.32761696193,522268.33771084656,0.9733539702687555,0.5982577392640104,0.5718890467654407,0.00024
1300,65680.5616171311,518131.2513108995,0.9774894323825076,0.6022164869684479,0.5724917346482595,0.00026
1400,54921.49068779337,517365.4304868078,0.9809971646644411,0.6013942764888758,0.5749304687313385,0.00028000000000000003
1500,45917.95669842906,519300.3409865882,0.984206795163228,0.5986622307233149,0.5769913919701127,0.0003
0,765414.4789199929,839130.0629876237,0.43401384061238835,0.16462743997361665,0.17096412428131844,0.00032
100,735649.0816492463,824766.8851292328,0.6822833290245286,0.39086937993565896,0.39152999497375385,0.00034
200,656618.7753735733,796229.8098464663,0.7377912938837563,0.3705200117472908,0.4238204181333691,0.00035999999999999997
300,555965.7225708236,758758.3978998667,0.7929124035325422,0.4213733589783799,0.42296809138432945,0.00038
400,446286.2104664097,718268.3276334016,0.8549148888321481,0.4738560179536718,0.47725002870527067,0.0004
500,346844.78145729494,692774.3034296893,0.8910769618849932,0.48137370125232765,0.5259483967158579,0.00042
600,270752.0144387755,670050.7307009455,0.9100083204667342,0.49610556814274076,0.5459215007992085,0.00043999999999999996
700,210177.46202887874,657049.680494665,0.9292087107057828,0.4993939970492234,0.5523859045746837,0.00046
800,167902.9998435317,650484.39124241,0.9431755128770489,0.5001862815693499,0.5484628160041047,0.00048
900,134451.3858004834,638853.5646225589,0.9536165116489751,0.5110544988994725,0.5551929680895009,0.0005
1000,108952.98122235373,635755.1606768005,0.9627924270087462,0.5114062752393986,0.5571934555591864,0.00052
1100,88445.01265506788,636410.4993886568,0.9699901809230584,0.5070466572961871,0.5561759853415204,0.00054
