param_set,fold,iteration,pearson
3,0,0,0.4333957705478126
3,0,20,0.5584281088852557
3,0,40,0.5493335477384277
3,0,60,0.5577052893063676
3,0,80,0.5617320846420072
3,0,100,0.5538660680125723
3,0,120,0.5574358175645919
3,0,140,0.5580212392237308
3,0,160,0.5643017621523226
3,0,180,0.5632650502025461
3,0,200,0.5679468621692065
3,0,220,0.5679609845148388
3,0,240,0.5708439246072972
3,0,260,0.5715546013221952
3,0,280,0.5735121179423746
3,0,300,0.5760582586425372
3,0,320,0.5798959726093118
3,0,340,0.5789544948057529
3,0,360,0.5777807381583805
3,0,380,0.5770855417610297
3,0,400,0.577451445368382
3,0,420,0.5776987856248488
3,0,440,0.5771597416279378
3,0,460,0.5774643562997964
3,0,480,0.5778747833602991
3,0,500,0.5780987745538928
3,0,520,0.5779672683098888
3,0,540,0.5780653703226584
3,0,560,0.5778351573556562
3,0,580,0.5793486522175821
3,0,600,0.5780440215371228
3,0,620,0.5776986895643894
3,0,640,0.5782611426748893
3,0,660,0.578690084546881
3,0,680,0.5784181563315874
3,0,700,0.5791392705579906
3,0,720,0.5781179506188696
3,0,740,0.5772147016215708
3,1,0,0.3844715434506296
3,1,20,0.48004181724052997
3,1,40,0.484381739470051
3,1,60,0.48524898806300903
3,1,80,0.49161472917682747
3,1,100,0.4958318220789884
3,1,120,0.5063369853630676
3,1,140,0.5106669697229208
3,1,160,0.5144501225881382
3,1,180,0.5200971740060715
3,1,200,0.5232429495546707
3,1,220,0.5241649703422566
3,1,240,0.5296182852777747
3,1,260,0.5356492731362915
3,1,280,0.5414619019331126
3,1,300,0.5470638543160321
3,1,320,0.5527625887796586
3,1,340,0.5526951545215911
3,1,360,0.5544508833036911
3,1,380,0.5576151433729654
3,1,400,0.5576434341359771
3,1,420,0.5597407358665669
3,1,440,0.5605659976960988
3,1,460,0.5623327185888044
3,1,480,0.5635307645917652
3,1,500,0.5636990335222887
3,1,520,0.5662055280202404
3,1,540,0.5653460246384473
3,1,560,0.565738232938083
3,1,580,0.5653619930497391
3,1,600,0.5658706045707407
