Feature,Importance
Feature_0,6478
Feature_1,5318
Feature_2,4717
Feature_4,3523
Feature_3,3312
Feature_8,3242
Feature_5,3115
Feature_7,3007
Feature_6,2847
Feature_12,2845
Feature_10,2316
Feature_333,2061
Feature_11,1987
Feature_9,1769
Feature_334,1635
Feature_13,1488
Feature_16,1464
Feature_14,1402
Feature_332,1270
Feature_20,1267
Feature_17,1150
Feature_19,1097
Feature_15,1092
Feature_31,1091
Feature_176,1082
Feature_18,1063
Feature_22,1005
Feature_162,998
Feature_28,947
Feature_190,934
Feature_27,934
Feature_23,928
Feature_21,920
Feature_235,918
Feature_24,888
Feature_35,883
Feature_316,838
Feature_26,826
Feature_312,820
Feature_331,820
Feature_212,808
Feature_182,805
Feature_169,789
Feature_286,733
Feature_273,710
Feature_170,707
Feature_29,700
Feature_229,697
Feature_263,685
Feature_187,685
Feature_160,681
Feature_37,680
Feature_25,676
Feature_166,673
Feature_300,672
Feature_200,658
Feature_213,656
Feature_284,653
Feature_30,652
Feature_250,645
Feature_180,637
Feature_36,636
Feature_192,627
Feature_274,626
Feature_168,618
Feature_218,615
Feature_178,614
Feature_278,608
Feature_164,605
Feature_295,604
Feature_324,602
Feature_174,599
Feature_165,587
Feature_240,584
Feature_172,580
Feature_248,578
Feature_38,573
Feature_236,565
Feature_254,563
Feature_234,552
Feature_337,551
Feature_251,551
Feature_313,551
Feature_33,549
Feature_232,547
Feature_198,533
Feature_208,532
Feature_32,522
Feature_238,518
Feature_293,517
Feature_39,515
Feature_282,512
Feature_206,510
Feature_246,510
Feature_185,505
Feature_294,504
Feature_307,502
Feature_186,495
Feature_210,493
Feature_184,490
Feature_228,483
Feature_260,477
Feature_266,475
Feature_163,473
Feature_290,472
Feature_161,466
Feature_320,462
Feature_271,462
Feature_175,460
Feature_280,457
Feature_262,456
Feature_224,456
Feature_226,454
Feature_34,451
Feature_327,446
Feature_314,444
Feature_222,437
Feature_252,433
Feature_167,432
Feature_244,432
Feature_272,430
Feature_330,427
Feature_211,422
Feature_181,420
Feature_230,413
Feature_253,412
Feature_288,404
Feature_215,396
Feature_328,395
Feature_204,389
Feature_267,389
Feature_318,388
Feature_214,374
Feature_264,372
Feature_258,371
Feature_179,368
Feature_202,366
Feature_216,364
Feature_296,362
Feature_268,358
Feature_194,351
Feature_196,347
Feature_188,336
Feature_302,335
Feature_305,334
Feature_245,333
Feature_270,324
Feature_304,322
Feature_339,317
Feature_322,316
Feature_237,316
Feature_65,312
Feature_261,310
Feature_319,310
Feature_225,308
Feature_276,308
Feature_336,303
Feature_241,302
Feature_306,297
Feature_191,296
Feature_308,295
Feature_195,295
Feature_259,294
Feature_199,292
Feature_183,290
Feature_209,287
Feature_256,281
Feature_340,278
Feature_292,277
Feature_277,277
Feature_227,277
Feature_177,277
Feature_171,277
Feature_275,276
Feature_220,276
Feature_189,272
Feature_193,268
Feature_205,266
Feature_326,266
Feature_207,265
Feature_317,262
Feature_173,259
Feature_303,258
Feature_255,257
Feature_223,255
Feature_279,255
Feature_325,254
Feature_287,246
Feature_239,245
Feature_301,240
Feature_315,238
Feature_285,235
Feature_219,231
Feature_242,225
Feature_311,223
Feature_338,220
Feature_50,220
Feature_203,218
Feature_321,218
Feature_233,215
Feature_249,210
Feature_247,209
Feature_217,207
Feature_201,207
Feature_310,203
Feature_283,202
Feature_231,200
Feature_299,198
Feature_297,193
Feature_197,191
Feature_257,189
Feature_298,186
Feature_71,182
Feature_291,178
Feature_269,173
Feature_75,169
Feature_323,168
Feature_265,166
Feature_44,165
Feature_289,163
Feature_221,158
Feature_243,155
Feature_52,150
Feature_329,149
Feature_68,141
Feature_281,135
Feature_41,130
Feature_64,121
Feature_60,114
Feature_309,113
Feature_67,112
Feature_69,105
Feature_40,105
Feature_46,105
Feature_54,103
Feature_48,102
Feature_51,101
Feature_57,99
Feature_62,99
Feature_61,98
Feature_47,97
Feature_341,96
Feature_53,95
Feature_66,94
Feature_78,94
Feature_335,90
Feature_42,88
Feature_77,84
Feature_55,83
Feature_56,82
Feature_43,75
Feature_79,74
Feature_73,68
Feature_74,67
Feature_58,63
Feature_49,62
Feature_63,61
Feature_76,60
Feature_70,59
Feature_59,58
Feature_45,58
Feature_72,44
Feature_153,24
Feature_93,19
Feature_100,15
Feature_151,15
Feature_92,12
Feature_108,12
Feature_101,12
Feature_116,12
Feature_104,11
Feature_90,11
Feature_87,10
Feature_105,9
Feature_80,8
Feature_83,8
Feature_102,8
Feature_113,8
Feature_120,7
Feature_95,7
Feature_84,7
Feature_115,6
Feature_106,6
Feature_96,6
Feature_123,6
Feature_99,6
Feature_109,5
Feature_111,5
Feature_112,5
Feature_107,5
Feature_114,5
Feature_94,5
Feature_117,5
Feature_118,5
Feature_119,5
Feature_81,4
Feature_103,4
Feature_126,4
Feature_131,4
Feature_134,4
Feature_110,4
Feature_91,3
Feature_127,3
Feature_121,3
Feature_128,3
Feature_139,3
Feature_88,3
Feature_98,3
Feature_97,3
Feature_130,2
Feature_133,2
Feature_137,2
Feature_129,2
Feature_142,2
Feature_89,2
Feature_82,2
Feature_154,1
Feature_132,1
Feature_135,1
Feature_124,1
Feature_136,1
Feature_157,1
Feature_138,1
Feature_86,1
Feature_85,1
Feature_122,0
Feature_125,0
Feature_143,0
Feature_158,0
Feature_147,0
Feature_148,0
Feature_144,0
Feature_159,0
Feature_149,0
Feature_141,0
Feature_156,0
Feature_155,0
Feature_146,0
Feature_150,0
Feature_140,0
Feature_152,0
Feature_145,0
