Feature,Importance
Feature_333,3126
Feature_0,2661
Feature_8,2303
Feature_1,2255
Feature_12,2212
Feature_332,2184
Feature_334,2164
Feature_5,2079
Feature_10,2058
Feature_2,1995
Feature_7,1914
Feature_4,1891
Feature_6,1864
Feature_3,1823
Feature_11,1807
Feature_16,1783
Feature_13,1695
Feature_14,1678
Feature_9,1477
Feature_17,1346
Feature_164,1346
Feature_15,1345
Feature_286,1306
Feature_316,1290
Feature_18,1278
Feature_162,1252
Feature_20,1250
Feature_19,1239
Feature_176,1200
Feature_294,1196
Feature_26,1151
Feature_278,1131
Feature_200,1121
Feature_22,1100
Feature_21,1088
Feature_170,1082
Feature_24,1042
Feature_169,1038
Feature_218,1035
Feature_35,1021
Feature_182,1019
Feature_23,1010
Feature_331,1007
Feature_212,1003
Feature_300,1002
Feature_320,980
Feature_194,970
Feature_160,960
Feature_190,958
Feature_166,944
Feature_38,944
Feature_32,942
Feature_25,942
Feature_31,937
Feature_228,935
Feature_324,927
Feature_29,925
Feature_174,924
Feature_180,916
Feature_232,913
Feature_337,912
Feature_184,911
Feature_172,907
Feature_30,905
Feature_318,902
Feature_235,899
Feature_27,895
Feature_330,891
Feature_37,888
Feature_192,888
Feature_262,886
Feature_196,875
Feature_208,867
Feature_39,865
Feature_168,860
Feature_198,857
Feature_178,856
Feature_36,848
Feature_202,834
Feature_248,832
Feature_165,827
Feature_302,826
Feature_214,817
Feature_280,814
Feature_263,811
Feature_28,807
Feature_226,801
Feature_272,799
Feature_33,792
Feature_254,789
Feature_186,788
Feature_34,784
Feature_250,782
Feature_204,781
Feature_264,777
Feature_284,769
Feature_163,766
Feature_258,761
Feature_206,749
Feature_188,747
Feature_240,744
Feature_296,744
Feature_238,743
Feature_274,737
Feature_210,735
Feature_222,731
Feature_216,730
Feature_273,729
Feature_229,729
Feature_252,727
Feature_268,726
Feature_270,717
Feature_276,711
Feature_234,709
Feature_244,707
Feature_282,701
Feature_306,695
Feature_167,691
Feature_242,682
Feature_213,678
Feature_260,675
Feature_236,673
Feature_220,672
Feature_225,666
Feature_322,664
Feature_224,662
Feature_328,658
Feature_308,655
Feature_314,654
Feature_339,652
Feature_310,651
Feature_193,651
Feature_312,650
Feature_293,648
Feature_304,648
Feature_185,645
Feature_189,644
Feature_290,639
Feature_211,639
Feature_295,639
Feature_245,634
Feature_288,622
Feature_181,621
Feature_251,613
Feature_199,613
Feature_179,612
Feature_191,610
Feature_161,601
Feature_241,596
Feature_298,594
Feature_215,588
Feature_292,586
Feature_175,585
Feature_171,585
Feature_271,584
Feature_340,579
Feature_307,565
Feature_230,561
Feature_266,561
Feature_336,561
Feature_223,557
Feature_246,555
Feature_256,546
Feature_183,541
Feature_203,532
Feature_326,532
Feature_217,532
Feature_305,530
Feature_195,527
Feature_275,526
Feature_173,522
Feature_259,517
Feature_233,517
Feature_187,515
Feature_313,514
Feature_325,512
Feature_253,484
Feature_301,481
Feature_219,479
Feature_177,471
Feature_279,468
Feature_205,465
Feature_319,463
Feature_231,462
Feature_207,461
Feature_209,461
Feature_255,459
Feature_317,455
Feature_269,454
Feature_327,448
Feature_338,447
Feature_197,446
Feature_297,440
Feature_315,433
Feature_311,433
Feature_239,426
Feature_249,421
Feature_277,421
Feature_285,417
Feature_227,414
Feature_303,413
Feature_237,411
Feature_201,409
Feature_287,405
Feature_323,405
Feature_309,393
Feature_221,392
Feature_267,390
Feature_243,377
Feature_261,377
Feature_283,363
Feature_321,363
Feature_265,354
Feature_257,353
Feature_291,352
Feature_289,349
Feature_247,337
Feature_281,336
Feature_329,335
Feature_299,322
Feature_341,264
Feature_40,243
Feature_48,232
Feature_335,220
Feature_75,220
Feature_47,219
Feature_71,216
Feature_53,209
Feature_56,206
Feature_52,204
Feature_50,200
Feature_79,193
Feature_77,191
Feature_54,190
Feature_66,187
Feature_41,187
Feature_46,184
Feature_51,181
Feature_74,176
Feature_44,175
Feature_60,174
Feature_45,173
Feature_73,172
Feature_62,167
Feature_76,167
Feature_65,164
Feature_68,164
Feature_67,163
Feature_78,158
Feature_69,158
Feature_58,153
Feature_64,153
Feature_72,148
Feature_57,147
Feature_63,146
Feature_55,143
Feature_61,142
Feature_42,139
Feature_70,132
Feature_49,125
Feature_59,122
Feature_43,122
Feature_110,34
Feature_100,30
Feature_102,27
Feature_82,26
Feature_104,24
Feature_84,24
Feature_93,24
Feature_90,23
Feature_119,23
Feature_106,22
Feature_92,22
Feature_107,22
Feature_91,21
Feature_101,21
Feature_118,21
Feature_88,20
Feature_111,19
Feature_108,19
Feature_94,19
Feature_97,19
Feature_96,18
Feature_117,18
Feature_95,18
Feature_103,16
Feature_137,16
Feature_153,15
Feature_114,15
Feature_89,14
Feature_80,14
Feature_105,14
Feature_115,14
Feature_86,14
Feature_87,14
Feature_113,14
Feature_81,13
Feature_109,13
Feature_116,13
Feature_151,13
Feature_99,12
Feature_132,12
Feature_85,12
Feature_129,12
Feature_123,11
Feature_83,10
Feature_98,10
Feature_133,10
Feature_112,9
Feature_124,9
Feature_122,8
Feature_120,8
Feature_121,7
Feature_138,7
Feature_127,7
Feature_135,7
Feature_134,7
Feature_139,6
Feature_136,5
Feature_131,4
Feature_125,4
Feature_128,4
Feature_148,3
Feature_142,3
Feature_130,2
Feature_146,2
Feature_158,2
Feature_147,2
Feature_126,2
Feature_144,1
Feature_143,1
Feature_141,1
Feature_149,1
Feature_150,1
Feature_152,1
Feature_159,1
Feature_154,1
Feature_145,0
Feature_140,0
Feature_155,0
Feature_157,0
Feature_156,0
