feature,importance
feature_42,859
feature_41,769
feature_39,725
feature_3,606
feature_2,547
feature_6,541
feature_1,462
feature_17,393
feature_34,385
feature_4,381
feature_18,362
feature_26,358
feature_0,357
feature_5,357
feature_16,356
feature_7,355
feature_22,354
feature_23,347
feature_13,329
feature_8,317
feature_32,308
feature_19,304
feature_9,300
feature_33,300
feature_38,300
feature_31,298
feature_35,298
feature_27,296
feature_11,290
feature_10,283
feature_36,279
feature_12,275
feature_37,274
feature_25,273
feature_24,267
feature_40,262
feature_28,262
feature_21,262
feature_30,256
feature_20,252
feature_14,249
feature_15,239
feature_29,235
