,Y
X20,-0.026699966426241464
X14,-0.036777197289899054
X4,-0.04352352798590174
X3,-0.045611669642724006
X18,-0.04685141576164555
X11,-0.06602191722149386
X15,-0.06654785828016828
X17,-0.06693897710151828
X8,-0.07438360718672714
X7,-0.08499392175488833
X19,-0.09726547249573933
X2,-0.10051459443081787
X16,-0.1010188268405429
X5,-0.10539975687365047
X6,-0.1092335091216363
X10,-0.10999924377759779
X12,-0.11081313889431978
X13,-0.11647239326459655
X1,-0.12458634586819325
X9,-0.16879920161426684
